"trial","sampling","design","p","kappa","vif_max","vif_median"
0,"trajectory_sg","full",55,1383.89212501495,66520.2328062748,160.299701470965
0,"trajectory_sg","truth",7,10.2258472504408,7.39741443416718,3.72607245290426
0,"trajectory_clean","full",55,1382.77762233075,66408.4867731991,160.625902349244
0,"trajectory_clean","truth",7,10.2243251737351,7.39500232871189,3.7264597427107
0,"box_uniform","full",55,1105.46530170109,36543.8713060237,71.7041323965541
0,"box_uniform","truth",7,11.8412940734076,6.85735814023032,3.63706145342275
0,"multi_transient","full",55,54.3231526422616,136.257047750601,18.353312081993
0,"multi_transient","truth",7,5.83221728927587,6.50731905482607,1.68455851072892
0,"multi_transient_sg","full",55,54.1494889468363,135.921244905735,18.2623528918218
0,"multi_transient_sg","truth",7,5.83256455722523,6.50865925688743,1.68433565887968
1,"trajectory_sg","full",55,706.418861938953,18672.8800759916,769.164737347526
1,"trajectory_sg","truth",7,8.6893000778064,7.20853029118757,2.99811747902148
1,"trajectory_clean","full",55,707.220100534664,18708.2430623032,760.796192775757
1,"trajectory_clean","truth",7,8.68899254947818,7.20707300453557,2.99812568838946
1,"box_uniform","full",55,294.954296165789,3083.3969210301,42.8255375880635
1,"box_uniform","truth",7,8.31873323357361,6.11806645169216,2.7319648490828
1,"multi_transient","full",55,67.6209235796937,246.52863803361,23.048585586468
1,"multi_transient","truth",7,7.44446303840015,10.9952850604323,2.00417980829468
1,"multi_transient_sg","full",55,67.6235545077584,246.556617580841,23.0610362203333
1,"multi_transient_sg","truth",7,7.44561509075515,10.9987001324427,2.00435452160659
2,"trajectory_sg","full",55,2933.19807513521,237739.65623438,773.981544248493
2,"trajectory_sg","truth",7,10.7872521681316,8.63954515266702,3.65031465299217
2,"trajectory_clean","full",55,2935.76171839646,238193.626538916,775.038376725336
2,"trajectory_clean","truth",7,10.7887409929519,8.6414402473521,3.65107268187123
2,"box_uniform","full",55,1291.24110133586,45589.5643742321,87.1709557161786
2,"box_uniform","truth",7,12.5896116728586,7.04285116037454,3.88838582128331
2,"multi_transient","full",55,54.9185249184563,195.965595194213,16.4577966353406
2,"multi_transient","truth",7,6.5728046304819,9.09998134982698,1.64254109547195
2,"multi_transient_sg","full",55,54.9918622299359,196.064214364109,16.464259376331
2,"multi_transient_sg","truth",7,6.57222626046991,9.09778293108797,1.64238037301935
3,"trajectory_sg","full",55,1544.44290873009,79315.3501111858,664.707527619127
3,"trajectory_sg","truth",7,9.57626415649438,7.54664070527338,3.30189299393535
3,"trajectory_clean","full",55,1544.17508819952,79259.188008891,665.848814649269
3,"trajectory_clean","truth",7,9.57587130466297,7.54546177660087,3.30229697651913
3,"box_uniform","full",55,580.975917467683,8980.31702023486,66.838064929161
3,"box_uniform","truth",7,9.61318117546477,6.32622981988687,2.93358614382959
3,"multi_transient","full",55,69.4364984540285,150.018882999523,23.1176291816849
3,"multi_transient","truth",7,6.05367112299447,7.1997609276042,1.91133091706796
3,"multi_transient_sg","full",55,69.3783881729047,149.590645385663,23.1251745981715
3,"multi_transient_sg","truth",7,6.0531732933133,7.19895816580762,1.91180200631516
4,"trajectory_sg","full",55,2878.16694711254,229333.343053496,1054.28146607182
4,"trajectory_sg","truth",7,11.0317655005483,8.60643667884819,3.72830575203495
4,"trajectory_clean","full",55,2880.68967448928,229791.882071459,1057.61976810554
4,"trajectory_clean","truth",7,11.0311036019869,8.60500012914649,3.72841759651094
4,"box_uniform","full",55,1384.08033218633,50975.5026604607,96.0420003703381
4,"box_uniform","truth",7,12.7009759103933,7.13850656739428,3.86092657470629
4,"multi_transient","full",55,52.0508735868098,186.76695917275,15.1783766013331
4,"multi_transient","truth",7,7.60332525590687,10.5296304069286,1.73627090775637
4,"multi_transient_sg","full",55,52.0461654011172,186.836124351308,15.1851995296296
4,"multi_transient_sg","truth",7,7.6038435899593,10.530628690667,1.73660837507111
5,"trajectory_sg","full",55,2309.80345499931,157626.840350863,1345.75292118861
5,"trajectory_sg","truth",7,10.54794834487,8.47912448865478,3.56847680932716
5,"trajectory_clean","full",55,2311.39965849667,157870.308805366,1359.45000688871
5,"trajectory_clean","truth",7,10.5486472782971,8.48074239080194,3.56942407367323
5,"box_uniform","full",55,973.434919204953,30035.0012493898,63.9601587946484
5,"box_uniform","truth",7,11.4554824104627,6.76517294726156,3.58730066862549
5,"multi_transient","full",55,59.2208200601945,240.787921788852,16.9244469168409
5,"multi_transient","truth",7,7.19460893564401,10.7427962831951,1.81514882400617
5,"multi_transient_sg","full",55,59.2034322489842,240.644271849721,16.9132618234498
5,"multi_transient_sg","truth",7,7.19426692776781,10.7426104117096,1.8153746558347
6,"trajectory_sg","full",55,1841.90203500592,118753.94629619,151.651001356746
6,"trajectory_sg","truth",7,12.2518896907806,7.14665353640552,4.41185636434319
6,"trajectory_clean","full",55,1842.68576196082,118854.695925545,151.755902362062
6,"trajectory_clean","truth",7,12.2514476399528,7.14502705223835,4.41173547364667
6,"box_uniform","full",55,1537.88789311703,66234.2497797983,120.090471433365
6,"box_uniform","truth",7,13.1378785553545,7.34842495907274,3.91864505349132
6,"multi_transient","full",55,49.2358696979135,117.00711947903,17.1591964217157
6,"multi_transient","truth",7,5.87202344745703,6.7739831731047,1.82585895019128
6,"multi_transient_sg","full",55,49.2005818652226,117.042638717472,17.1523235515573
6,"multi_transient_sg","truth",7,5.87212716692233,6.7745341723878,1.82620192081704
7,"trajectory_sg","full",55,1265.11453093676,59709.2034243065,199.252098726924
7,"trajectory_sg","truth",7,10.7324840276137,8.16739796611596,3.63253361086233
7,"trajectory_clean","full",55,1263.64201798113,59584.2106304156,199.176512755686
7,"trajectory_clean","truth",7,10.7319865558271,8.16672210277007,3.63307016645289
7,"box_uniform","full",55,1071.69571413475,34116.4208527801,65.5990871219411
7,"box_uniform","truth",7,11.9346312427568,7.06368972176283,3.58733828456634
7,"multi_transient","full",55,88.3184153494758,202.413245787071,28.790534630649
7,"multi_transient","truth",7,6.33176059448731,7.26301799315339,1.81597581829861
7,"multi_transient_sg","full",55,88.3045062973803,202.54564552396,28.8116723351658
7,"multi_transient_sg","truth",7,6.33152564090204,7.26371338963045,1.81562186433085
8,"trajectory_sg","full",55,2069.83722290094,132922.592258589,1608.55877658253
8,"trajectory_sg","truth",7,10.5663318215923,8.46711751426814,3.42592113306672
8,"trajectory_clean","full",55,2074.13036901826,133373.451524689,1630.09214068801
8,"trajectory_clean","truth",7,10.5654144461597,8.46600955316766,3.42537168350006
8,"box_uniform","full",55,1046.44920505283,34171.044874565,67.0080839388455
8,"box_uniform","truth",7,11.7586365346832,6.92819098076237,3.54176437771369
8,"multi_transient","full",55,72.5746601400205,204.743903191879,22.1031723083815
8,"multi_transient","truth",7,7.68564818965821,11.6049313266853,1.77661692732155
8,"multi_transient_sg","full",55,72.5769617823219,204.348791448676,22.1196178555644
8,"multi_transient_sg","truth",7,7.68181774602006,11.5923614577297,1.77652248735159
9,"trajectory_sg","full",55,573.43230314124,12465.7193719151,426.309625734824
9,"trajectory_sg","truth",7,8.7825556782097,7.4035818490543,2.72334987075149
9,"trajectory_clean","full",55,573.796073293707,12484.8758727653,427.654603953882
9,"trajectory_clean","truth",7,8.78351630971696,7.40408328494208,2.72269330988997
9,"box_uniform","full",55,253.663997507092,2623.52487053639,38.3758437114103
9,"box_uniform","truth",7,8.19209043837808,6.04278602202927,2.73903483792029
9,"multi_transient","full",55,57.3316239951177,192.193472601212,17.3141659615906
9,"multi_transient","truth",7,6.84222674407271,8.08328112072247,1.61255350446753
9,"multi_transient_sg","full",55,57.342158631464,191.898243526781,17.315683961586
9,"multi_transient_sg","truth",7,6.84122074201528,8.08100130352451,1.61242665430955
10,"trajectory_sg","full",55,410.430971018356,8039.38599793819,377.999595585486
10,"trajectory_sg","truth",7,8.7782488757931,7.42605749778535,2.62660285845624
10,"trajectory_clean","full",55,410.803371532502,8051.66093528986,380.422862484568
10,"trajectory_clean","truth",7,8.77875670910195,7.42694259392616,2.62817296940074
10,"box_uniform","full",55,271.536425090694,2546.63181158213,42.2805001575884
10,"box_uniform","truth",7,8.21996937710816,6.04794766316681,2.73729651425215
10,"multi_transient","full",55,59.0615035040113,146.151782576119,21.1868379940327
10,"multi_transient","truth",7,5.32855775694139,5.75352495898902,1.75139202078791
10,"multi_transient_sg","full",55,59.1818994808912,146.645349650044,21.1387094362232
10,"multi_transient_sg","truth",7,5.32908291158831,5.75444600971046,1.75156365904979
11,"trajectory_sg","full",55,654.481540724419,5034.34477909538,1313.11040257288
11,"trajectory_sg","truth",7,10.4244126952175,11.3691599006469,2.40273810478566
11,"trajectory_clean","full",55,657.693456429875,5062.34692572246,1328.99230136356
11,"trajectory_clean","truth",7,10.4270951723361,11.3757448164735,2.40450650624422
11,"box_uniform","full",55,141.261259667415,449.84470250017,43.8656706465515
11,"box_uniform","truth",7,6.68006329059361,5.88609822856855,2.23934216248409
11,"multi_transient","full",55,57.6237826084713,172.607652174095,18.488317827224
11,"multi_transient","truth",7,6.14495755958872,7.43294366408454,1.712025936403
11,"multi_transient_sg","full",55,57.6479938061637,172.678211119589,18.4465073711129
11,"multi_transient_sg","truth",7,6.14416269142096,7.43190876394278,1.71177105624352
12,"trajectory_sg","full",55,632.331876068245,14588.2272509276,397.333708488709
12,"trajectory_sg","truth",7,8.83967643224243,6.81799004017631,2.83469296651646
12,"trajectory_clean","full",55,632.997816673617,14613.1763516041,397.266402180551
12,"trajectory_clean","truth",7,8.84062880117588,6.81883394290949,2.83631661834675
12,"box_uniform","full",55,362.494569699553,3863.12712902851,49.2646115734701
12,"box_uniform","truth",7,8.49437878238719,6.17044177144032,2.57905589979239
12,"multi_transient","full",55,67.5541940766195,209.294761923419,17.5330426991172
12,"multi_transient","truth",7,6.69732102576552,9.35292411365744,1.78075500509195
12,"multi_transient_sg","full",55,67.5535359855419,209.387999924343,17.5336762681123
12,"multi_transient_sg","truth",7,6.69959555459132,9.35904786548802,1.78078964799136
13,"trajectory_sg","full",55,468.416405005289,8118.15637950426,218.057764353136
13,"trajectory_sg","truth",7,8.70424517064474,7.17805959631576,2.94552169016227
13,"trajectory_clean","full",55,469.047120624997,8137.98580980088,218.172714551203
13,"trajectory_clean","truth",7,8.70452757223012,7.17797923597058,2.9461542945816
13,"box_uniform","full",55,248.245985116225,2192.70655069715,38.3460012147156
13,"box_uniform","truth",7,7.86408569765099,6.07482336518655,2.62249364192683
13,"multi_transient","full",55,78.4428427402732,193.226424503922,26.2307712230747
13,"multi_transient","truth",7,6.15896067486917,7.59469202226946,1.63755624018784
13,"multi_transient_sg","full",55,78.4914917539962,193.387598921951,26.2277296009536
13,"multi_transient_sg","truth",7,6.15881493825101,7.59468652972318,1.63757414946436
14,"trajectory_sg","full",55,693.87515426175,19986.9971097951,375.198799722934
14,"trajectory_sg","truth",7,9.2283158714082,7.55226731256871,3.10666888339363
14,"trajectory_clean","full",55,693.575868430631,19980.9259409869,375.301647379794
14,"trajectory_clean","truth",7,9.2281014061447,7.55210015568742,3.10457524310737
14,"box_uniform","full",55,475.015656350421,7503.37857123352,54.0759146313643
14,"box_uniform","truth",7,8.98424789320631,5.86492173076189,3.05860154002844
14,"multi_transient","full",55,72.099404746105,280.052283385409,19.7010922139506
14,"multi_transient","truth",7,7.86751393663136,11.658648975093,1.76024558960943
