"trial","log10n","n","index","t","k","x1","x2","x3","abs_x2x3","abs_x2x3_quantile","radius_quantile","leverage","leverage_quantile","leverage_x_n_over_p","residual","std_residual","deriv_error","deriv_error_quantile","y","fitted"
1,5,1e+05,10990,109.9,0.571198478537179,15.2545750596974,-6.28927216828032,-11.5077123944465,72.3751352829671,0.99981,0.99979,0.0017897007468618,0.99975,59.6566915620599,-11.7088149027598,-27.9798134365113,-14.0402046212207,0.99986,129.319663295418,141.028478198178
1,5,1e+05,14178,141.78,0.523959116070617,13.3992186884438,-8.85085184119121,-10.4057325484345,92.0995970852547,0.99999,0.99965,0.00322556641858877,1,107.518880619626,-9.7994880758429,-23.4172160387278,-11.0354973755392,0.99976,188.584906848126,198.384394923969
1,5,1e+05,14179,141.79,1.1821704133086,15.3427840837258,-7.50255933740264,-11.7645195847062,88.2640062602935,0.99997,0.99985,0.00277604526144974,0.99997,92.5348420483246,-16.664225298738,-39.8214438262905,-19.0648339363915,0.99994,165.717071377821,182.381296676559
1,5,1e+05,14180,141.8,0.974477363039886,16.9998795930551,-5.74023402856396,-12.80748452221,73.5179584746959,0.99983,0.99995,0.00177161669764609,0.99974,59.0538899215365,-16.1119906779805,-38.5018037269037,-19.2217648385143,0.99995,122.536850235435,138.648840913416
1,5,1e+05,14183,141.83,0.725117616937253,17.9735586902178,0.765225385862378,-11.9985468875319,9.18159267179945,0.9189,0.99993,0.000597657482326232,0.9974,19.9219160775411,16.0162728452401,38.2730728839564,18.5429462733694,0.99992,-59.4028046252802,-75.4190774705203
1,5,1e+05,14184,141.84,0.918542444751802,16.9463767621483,2.64889563849977,-10.3834163726139,27.5045863421442,0.99009,0.99978,0.00114220462171159,0.99948,38.0734873903864,17.3905359281176,41.5570623389896,19.5082872341114,0.99996,-102.944330537623,-120.334866465741
1,5,1e+05,33919,339.19,0.702324266757895,15.1803945173183,-6.71123331490041,-11.5171382561046,77.2942019566828,0.99988,0.9998,0.00207504933378522,0.99983,69.1683111261739,-13.2092133421089,-31.5652205645653,-15.5758533493148,0.9999,140.866075066874,154.075288408982
1,5,1e+05,33924,339.24,0.523263981320873,16.0920546970814,2.49135152338891,-9.67138250648868,24.0948135408174,0.98658,0.99962,0.000962499946137831,0.99913,32.0833315379277,13.266678271388,31.7025408667246,14.7129561314386,0.99988,-96.1278529966238,-109.394531268012
1,5,1e+05,89231,892.31,1.33306181583602,-14.1958693767259,-8.8976038958313,10.5345624179704,93.7323636110112,1,0.99975,0.00281833135856521,0.99998,93.9443786188405,17.2203148027267,41.1502956959992,18.6353447147853,0.99993,-200.752032800599,-217.972347603325
1,5,1e+05,89232,892.32,1.98935646969682,-16.2780369722212,-7.19773081129395,11.98199138473,86.2431485705297,0.99995,0.99992,0.00220951211685559,0.99987,73.6504038951864,22.7124991908092,54.2746209000169,26.2528006674896,0.99999,-164.967320367571,-187.67981955838
1,5,1e+05,89233,892.33,0.938695659968145,-17.8991972274878,-5.02914141783886,12.9569909480296,65.1625398272987,0.99967,0.99998,0.00113708530609491,0.99946,37.9028435364968,16.5265657437556,39.4924875059328,20.422859603745,0.99997,-106.847547665337,-123.374113409093
1,5,1e+05,89235,892.35,0.743423905694577,-18.6309314945142,-0.0182855726081561,12.4874357526696,0.228339913145125,0.29431,0.99996,0.000444777266462762,0.99535,14.8259088820921,-16.3472747631835,-39.0640472044233,-18.4841656239987,0.99991,36.773825521444,53.1211002846275
1,5,1e+05,89236,892.36,1.96619792466658,-17.7115912117336,2.27216133124155,11.0069892494711,25.0096553460396,0.98756,0.99987,0.00106094601252809,0.99937,35.3648670842696,-23.7074749729617,-56.6522515133347,-26.5674554154703,1,96.3655489852789,120.073023958241
1,5,1e+05,89237,892.37,1.27566113354539,-16.2974373730937,4.13906622475047,9.00298269915338,37.2639416120786,0.99649,0.99963,0.00150007685739652,0.99967,50.0025619132174,-19.6173773871709,-46.8784043445169,-20.9200211909511,0.99998,132.723999505693,152.341376892864
2,5,1e+05,18205,182.05,0.599887858066378,-14.277429351301,-5.85693438128264,10.2182749736645,59.8477660106555,0.99974,0.99972,0.00113759217569613,0.99958,37.9197391898711,9.64565092984961,25.8720315100414,11.2630530710208,0.99984,-113.350561485129,-122.996212414978
2,5,1e+05,18209,182.09,0.501395905615913,-15.4029140131618,0.929078349922509,9.48947315645782,8.81646406183578,0.91578,0.99968,0.000509455003209769,0.99701,16.9818334403256,-9.9643186333239,-26.7267774391114,-11.1508433622156,0.99982,59.7914299941491,69.755748627473
2,5,1e+05,34738,347.38,0.946297856314195,13.5348484862323,-9.50175149283471,-10.5861529504874,100.586994600671,1,0.99984,0.00439077612283365,1,146.359204094455,-11.098326940504,-29.7684693756525,-11.9592535942953,0.99985,209.519334875984,220.617661816488
