"trial","snr","sg_order","sg_window","noise_sd_x1","int_y_on_theta","int_d_on_clean","int_dtrunc_on_clean","sd_d","sd_dtrunc","cor_d_dtrunc","q999_absd","max_absd"
1,49,4,13,0.0118074836169868,0.00461656350789193,0.00437271398871143,0.00432374826471049,0.446726956403347,0.386511952547741,0.864699477754613,4.70591932358541,26.3015070803642
1,Inf,4,13,0,0.00421166936560967,0.00432374826471049,0.00432374826471049,0.386511952547741,0.386511952547741,1,4.63440809783867,26.3309967481726
2,49,4,13,0.0114922495656612,0.00350039791607752,0.00348370002152271,0.0034096383447002,0.394225048719144,0.328895842918278,0.834341013726283,3.98110395313829,25.1804282820989
2,Inf,4,13,0,0.003314393977753,0.0034096383447002,0.0034096383447002,0.328895842918278,0.328895842918278,1,4.01060568264809,24.9716800993454
3,49,4,13,0.0118688673275433,0.00663156016765013,0.00655460064389306,0.00663198713427224,0.574634965742387,0.528158033098114,0.918941642392888,4.86395168626786,55.3967851640668
3,Inf,4,13,0,0.0064512846515427,0.00663198713427224,0.00663198713427224,0.528158033098114,0.528158033098114,1,4.88683797930819,55.2578510864182
