"trial","n","snr","sigma","rho1","var_ratio_deciles","bp_r2","durbin_watson"
1,10000,49,0.279704925770138,0.761637676591514,4.20077714654664,0.00232293129738658,0.47574829943371
1,10000,Inf,0.16422335557371,0.885955933382151,1014.79050941609,0.00327002551672067,0.228062711013997
1,1e+05,49,0.41863348740852,0.785622312003115,13.6844894145235,6.01137139333566e-08,0.428666160258936
1,1e+05,Inf,0.352013382380658,0.827022205022169,851.953338836361,4.89123859798384e-08,0.345913288352212
2,10000,49,0.250545117218142,0.732734201530578,3.07476696172722,0.00112464238356333,0.531310991926664
2,10000,Inf,0.12827720848812,0.894699239017532,723.218134326063,0.00452528899149136,0.21058738181868
2,1e+05,49,0.373310311329942,0.776393830975318,10.6720100203453,0.000253174901970175,0.447050428503641
2,1e+05,Inf,0.301390453316835,0.827910510115576,850.804995639844,0.000234670950474026,0.344144781667459
3,10000,49,0.465456004767209,0.785751718462765,19.9977384499256,0.00212780072342104,0.427535368257782
3,10000,Inf,0.418491898022748,0.815769442817564,1173.28767690712,0.00321977124731349,0.368301729139924
3,1e+05,49,0.527775933500463,0.770564754675897,22.4443484264263,0.000722144629081771,0.458811042515561
3,1e+05,Inf,0.476753672093618,0.79056441108147,1036.71014082195,0.00084652193571122,0.418804550547097
