"trial","sweep","log10n","n","snr","design","term","degree","is_truth","vif"
0,"n",5,1e+05,49,"trimmed","x1^3 x3",4,TRUE,6431.48548144831
0,"n",5,1e+05,49,"trimmed","x1^2 x2 x3",4,FALSE,2783.30548836318
0,"n",5,1e+05,49,"trimmed","x1 x2^2 x3",4,FALSE,2449.56161990713
0,"n",5,1e+05,49,"trimmed","x2^3 x3",4,FALSE,6300.88242780011
0,"n",5,1e+05,49,"trimmed","x1^2 x3^2",4,FALSE,20467.7145474511
0,"n",5,1e+05,49,"trimmed","x1 x2 x3^2",4,FALSE,14683.4362319023
0,"n",5,1e+05,49,"trimmed","x2^2 x3^2",4,FALSE,26813.0864063871
0,"n",5,1e+05,49,"trimmed","x1 x3^3",4,FALSE,220858.459955549
0,"n",5,1e+05,49,"trimmed","x2 x3^3",4,FALSE,162220.537472425
0,"n",5,1e+05,49,"trimmed","x3^4",4,FALSE,1118072.0578165
0,"n",5,1e+05,49,"trimmed","x1^5",5,FALSE,2639.54047116544
0,"n",5,1e+05,49,"trimmed","x1^4 x2",5,FALSE,807.521204317197
0,"n",5,1e+05,49,"trimmed","x1^3 x2^2",5,FALSE,395.795708701722
0,"n",5,1e+05,49,"trimmed","x1^2 x2^3",5,FALSE,408.68418829632
0,"n",5,1e+05,49,"trimmed","x1 x2^4",5,FALSE,613.377135981694
0,"n",5,1e+05,49,"trimmed","x2^5",5,FALSE,1559.73695116504
0,"n",5,1e+05,49,"trimmed","x1^4 x3",5,FALSE,2211.99934657352
0,"n",5,1e+05,49,"trimmed","x1^3 x2 x3",5,FALSE,586.213847159832
0,"n",5,1e+05,49,"trimmed","x1^2 x2^2 x3",5,FALSE,419.834351477129
0,"n",5,1e+05,49,"trimmed","x1 x2^3 x3",5,FALSE,489.837859704297
0,"n",5,1e+05,49,"trimmed","x2^4 x3",5,FALSE,1480.5834748412
0,"n",5,1e+05,49,"trimmed","x1^3 x3^2",5,FALSE,3629.88909842891
0,"n",5,1e+05,49,"trimmed","x1^2 x2 x3^2",5,FALSE,1653.79524142694
0,"n",5,1e+05,49,"trimmed","x1 x2^2 x3^2",5,FALSE,1866.49090795018
0,"n",5,1e+05,49,"trimmed","x2^3 x3^2",5,FALSE,4571.47254612828
0,"n",5,1e+05,49,"trimmed","x1^2 x3^3",5,FALSE,8653.42256182276
0,"n",5,1e+05,49,"trimmed","x1 x2 x3^3",5,FALSE,6454.11684624979
0,"n",5,1e+05,49,"trimmed","x2^2 x3^3",5,FALSE,12087.1358009822
0,"n",5,1e+05,49,"trimmed","x1 x3^4",5,FALSE,64283.178598785
0,"n",5,1e+05,49,"trimmed","x2 x3^4",5,FALSE,44896.513283982
0,"n",5,1e+05,49,"trimmed","x3^5",5,FALSE,222441.167184808
0,"n",5,1e+05,49,"truth","x3",1,TRUE,9.49114694273939
0,"n",5,1e+05,49,"truth","x1^2",2,TRUE,4.25714783819901
0,"n",5,1e+05,49,"truth","x2^2",2,TRUE,2.4451176997761
