"system","eq","trial","snr","n","sg_order","sg_window","sigma","bp_lm","bp_p","bp_r2","white_lm","white_p","var_ratio","rho1","durbin_watson","sel_sigma","sel_bp_lm","sel_bp_p","sel_bp_r2","sel_white_lm","sel_white_p","sel_var_ratio","sel_rho1","sel_durbin_watson","selected","selected_intercept","screen_exact_truth","truth_in_selected","final","final_intercept","success","truth_in_final","n_spurious_final","truth_support_all_kept","var_e","var_d","var_g","var_h","var_dtrunc","var_dnoise","corr_e_d","corr_e_dtrunc","corr_e_g","r2_e_on_d","rho1_d","rho1_dtrunc","noise_sd_state"
"aizawa",3,0,10,5000,4,13,3.8824553741348,6.93677802062672,0.00844410809632442,0.00138735560412534,7.07026269736319,0.029154927276629,1.43620725678435,0.673242743058446,0.650142734543732,3.8819343520641,5.35481239086946,0.0206651575259543,0.00107096247817389,5.60823513583388,0.0605601878535357,1.36890214258638,0.673607517981041,0.6494342218901,"x3;x1^2;x2^3;x2^2 x3;x3^3;x1^4;x1^3 x2;x1^2 x2^2;x1^3 x3;x1 x2^2 x3;x1^2 x3^2;x1^2 x2^3;x1 x2^4;x1^2 x2^2 x3",TRUE,FALSE,FALSE,"x3;x2^3;x2^2 x3;x3^3;x1^3 x2;x1^2 x2^2;x1^2 x2^3;x1^2 x2^2 x3",TRUE,FALSE,FALSE,5,FALSE,15.0734597321482,15.0161493596868,0.0575273395950156,0.0145974427813041,1.06290012148017e-10,15.0161489946956,0.998234920201348,0.00218112462454207,0.0591633556589252,0.996472955909391,0.673081494894641,0.98891895374601,0.206050662135367
"aizawa",3,0,20,5000,4,13,1.27611669524827,1.5856134811865,0.207953966168252,0.0003171226962373,5.44941450858286,0.0655653938965137,1.45751654132072,0.68861702729882,0.617753503685369,1.27706435576766,1.35972983383718,0.243584309224478,0.000271945966767436,5.34384716715231,0.0691191409066505,1.43770899361457,0.689065089330237,0.616875680799286,"x3;x1^2;x2^2;x1^2 x3;x2^2 x3;x3^3;x1^2 x2^2",TRUE,FALSE,FALSE,"x3;x1^2;x2^2;x1^2 x3;x2^2 x3;x3^3",TRUE,FALSE,FALSE,0,TRUE,1.62847381989136,1.61979177242585,0.00545010415555841,0.000209813002310641,1.06290012148017e-10,1.61979130358222,0.998350355597405,0.0195229536541977,0.074616855142035,0.996703432521464,0.687784685967333,0.98891895374601,0.0651589405733573
"aizawa",3,0,30,5000,4,13,0.408041140554592,3.48323421353593,0.0619934665362802,0.000696646842707186,4.53464844142053,0.103588990852046,1.41673593916202,0.693364100144422,0.609509912283253,0.407932450664216,3.62032179319808,0.057077832033153,0.000724064358639617,4.65015002247992,0.0977761094690557,1.43657493666292,0.693222804627836,0.609820959026777,"x3;x1^2;x2^2;x1^2 x3;x2^2 x3;x3^3;x1^4;x1^2 x2^2;x2^4;x1^3 x3;x1^2 x2^2 x3",TRUE,FALSE,TRUE,"x3;x1^2;x2^2;x1^2 x3;x2^2 x3;x3^3;x1^3 x3",TRUE,TRUE,TRUE,0,TRUE,0.166497572385093,0.165414989746303,0.000559542941789873,2.46344643209165e-05,1.06290012148017e-10,0.165415072281724,0.998330495611005,-0.00995575542168645,0.0847993388990763,0.996663778466914,0.692531841060381,0.98891895374601,0.0206050662135367
"aizawa",3,0,40,5000,4,13,0.123492732744195,2.06547579697189,0.15066789751547,0.000413095159394378,3.4639019791768,0.176938867116701,1.36587624484597,0.681977717700544,0.63524943244629,0.123500898220395,2.03390800831799,0.153824625194801,0.000406781601663598,3.45544922283613,0.177688260175911,1.35358793673342,0.682022671775546,0.635076448954688,"x3;x1^2;x2^2;x1 x3;x3^2;x1^2 x3;x2^2 x3;x3^3;x1^4;x1^3 x3;x1^2 x3^2;x3^4",TRUE,FALSE,TRUE,"x3;x1^2;x2^2;x1^2 x3;x2^2 x3;x3^3;x1^3 x3",TRUE,TRUE,TRUE,0,TRUE,0.0152504550406292,0.015225859672434,5.46237318947216e-05,9.10898373334746e-07,1.06290012148017e-10,0.0152258709338459,0.998197572181122,-0.00201713447358713,0.0435116156002576,0.996398393108287,0.682134536237734,0.98891895374601,0.00651589405733573
"aizawa",3,0,45,5000,4,13,0.0693925431235492,2.14130267852662,0.143380094038905,0.000428260535705325,2.64292503612232,0.266744897318464,1.52746482514203,0.683403060547921,0.629478711244569,0.069393499166195,2.13932675039344,0.143564884267482,0.000427865350078687,2.64478403029353,0.266497073907218,1.5268951560729,0.683409778816326,0.629453051746718,"x3;x1^2;x2^2;x3^2;x1^2 x3;x2^2 x3;x3^3;x1^3 x3;x3^4",TRUE,FALSE,TRUE,"x3;x1^2;x2^2;x1^2 x3;x2^2 x3;x3^3;x1^3 x3",TRUE,TRUE,TRUE,0,TRUE,0.00481532504115364,0.00479227977972358,1.66079221594e-05,1.08837016146021e-06,1.06290012148017e-10,0.00479228434940031,0.998238816988697,-0.000115686576341108,0.0706288346565573,0.996480735742994,0.68293499392429,0.98891895374601,0.0036641564990021
"aizawa",3,0,50,5000,4,13,0.0390535652026066,18.4020286648442,1.78867448657543e-05,0.00368040573296883,23.9599300075902,6.26855304800267e-06,1.57766346979574,0.68190152378794,0.634891925709059,0.0390555641715961,18.4079833797068,1.78309355168173e-05,0.00368159667594136,23.9496530186788,6.30084687284764e-06,1.57358331560125,0.681932438459912,0.634811408313747,"x3;x1^2;x2^2;x3^2;x1^2 x3;x2^2 x3;x3^3;x1^3 x3;x3^4",TRUE,FALSE,TRUE,"x3;x1^2;x2^2;x1^2 x3;x2^2 x3;x3^3;x1^3 x3",TRUE,TRUE,TRUE,0,TRUE,0.00152518095503425,0.00151753345377805,5.35732447440204e-06,9.39722581788067e-08,1.06290012148017e-10,0.00151753727985392,0.998266557605621,-0.0061986501228103,0.0715234084571649,0.996536120033777,0.68135911061214,0.98891895374601,0.00206050662135367
"aizawa",3,0,55,5000,4,13,0.0226868794094517,1.08163390838031,0.298332326924774,0.000216326781676063,1.24096501049681,0.537684939189891,1.39590805796141,0.688233332099032,0.619535262472258,0.022686703089142,1.08160132859293,0.298339603904308,0.000216320265718586,1.24177314523089,0.537467722140331,1.39767261233461,0.688231902008029,0.619544309829379,"x3;x1^2;x2^2;x3^2;x1^2 x3;x2^2 x3;x3^3;x1^3 x3;x1^2 x3^2;x3^4",TRUE,FALSE,TRUE,"x3;x1^2;x2^2;x1^2 x3;x2^2 x3;x3^3;x1^3 x3",TRUE,TRUE,TRUE,0,TRUE,0.000514694497339004,0.000514350235723648,1.71613594094812e-06,2.54906423782915e-08,1.06290012148017e-10,0.000514357938639668,0.998323210765157,-0.0125353718666316,0.0348539489603428,0.996649233152452,0.688242384446921,0.98891895374601,0.00115870802401551
"aizawa",3,0,57,5000,4,13,0.0180952700058416,0.9535831635539,0.328808907844956,0.00019071663271078,2.58759053519679,0.274228036808142,1.47030759919919,0.688652088618727,0.611995621631918,0.0180929842745593,0.943524164845691,0.331373161618206,0.000188704832969138,2.58500154401947,0.274583253655795,1.46172724622248,0.688593127255622,0.612141350395869,"x3;x1^2;x2^2;x3^2;x1^2 x3;x2^2 x3;x3^3;x1^4;x1^2 x2^2;x1^3 x3;x1^2 x3^2;x3^4",TRUE,FALSE,TRUE,"x3;x1^2;x2^2;x1^2 x3;x2^2 x3;x3^3;x1^3 x3",TRUE,TRUE,TRUE,0,TRUE,0.000327438796584311,0.000325833065327321,1.18699012500002e-06,5.30431945656112e-08,1.06290012148017e-10,0.00032583093568015,0.998134346874839,0.00735842330058579,0.0717036557077894,0.996272174411261,0.687719898862014,0.98891895374601,0.000920394499277101
"aizawa",3,0,60,5000,4,13,0.0131135066202218,0.709264134971132,0.399688209526315,0.000141852826994227,2.476174968361,0.289938199414081,1.9410678231541,0.691993606609895,0.597461476189448,0.0131135372378115,0.709923917613285,0.399469070559134,0.000141984783522657,2.47799647643552,0.289674257239854,1.94050751894012,0.691999949830875,0.597446263271387,"x3;x1^2;x2^2;x3^2;x1^2 x3;x2^2 x3;x3^3;x1^3 x3;x3^4",TRUE,FALSE,TRUE,"x3;x1^2;x2^2;x1^2 x3;x2^2 x3;x3^3;x1^3 x3",TRUE,TRUE,TRUE,0,TRUE,0.0001719640558786,0.000170774624000853,5.66023955996371e-07,5.65034681568418e-09,1.06290012148017e-10,0.000170777241044517,0.998336147804175,-0.0107245250858194,0.089350804602371,0.996675064012479,0.691072912362837,0.98891895374601,0.000651589405733574
"aizawa",3,0,Inf,5000,4,13,9.59508815622827e-06,1351.43326551171,7.51998642859854e-296,0.270286653102341,1872.81646019353,0,870.673238477791,0.988564776221403,0.0227980886034861,8.12965068978426e-06,935.611776714903,1.77997276621806e-205,0.187122355342981,1309.58538828551,4.23785548963925e-285,52.5260836545226,0.987610318509308,0.0246973284702339,"x3;x1^2;x2^2;x1 x3;x3^2;x2^3;x1^2 x3;x2^2 x3;x3^3;x1^4;x1^2 x2^2;x2^4;x1^3 x3;x2 x3^3;x3^4",TRUE,FALSE,TRUE,"x3;x1^2;x2^2;x1 x3;x3^2;x1^2 x3;x2^2 x3;x3^3;x1^4;x1^2 x2^2;x1^3 x3;x2 x3^3;x3^4",TRUE,FALSE,TRUE,6,TRUE,9.2065716725792e-11,1.06290012148017e-10,6.31529612692217e-16,1.4038661097553e-11,1.06290012148017e-10,0,0.93120879149787,0.93120879149787,-0.226747515604751,0.867149813362923,0.98891895374601,0.98891895374601,0
