"trial","log10n","n","snr","variant","p_selected","truth_in_selected","n_spurious_selected","p_final","success","truth_in_final","n_spurious_final","selected"
2,4.4,25119,49,"min/min",18,TRUE,11,8,TRUE,TRUE,0,"x1;x2;x3;x1^2;x2^2;x1 x3;x1^3;x2^3;x1^2 x3;x2^2 x3;x3^3;x1^4;x1^2 x2^2;x2^4;x1^3 x3;x1^2 x3^2;x1^3 x2 x3;x1^2 x2^2 x3"
2,4.4,25119,49,"min/1se",17,FALSE,12,17,FALSE,FALSE,11,"x2;x3;x1^2;x2^2;x1 x3;x1^3;x1^2 x2;x1 x2^2;x2^3;x1^2 x3;x1 x2 x3;x3^3;x1^4;x1^2 x2^2;x2^4;x2^2 x3^2;x3^4"
2,4.4,25119,49,"1se/1se",17,FALSE,12,17,FALSE,FALSE,11,"x2;x3;x1^2;x2^2;x1 x3;x1^3;x1^2 x2;x1 x2^2;x2^3;x1^2 x3;x1 x2 x3;x3^3;x1^4;x1^2 x2^2;x2^4;x2^2 x3^2;x3^4"
3,4.4,25119,49,"min/min",18,FALSE,13,18,FALSE,FALSE,12,"x1;x2;x3;x1^2;x2^2;x2 x3;x3^3;x1^4;x1^2 x2^2;x2^4;x1^3 x3;x1 x2^2 x3;x1^2 x3^2;x2^2 x3^2;x1 x3^3;x1^4 x3;x1^2 x2^2 x3;x2^4 x3"
3,4.4,25119,49,"min/1se",18,FALSE,13,17,FALSE,FALSE,11,"x1;x2;x3;x1^2;x2^2;x2 x3;x3^3;x1^4;x1^2 x2^2;x2^4;x1^3 x3;x1^2 x2 x3;x1 x2^2 x3;x1^2 x3^2;x2^2 x3^2;x1 x3^3;x1^2 x2^2 x3;x2^4 x3"
3,4.4,25119,49,"1se/1se",17,FALSE,12,17,FALSE,FALSE,11,"x1;x2;x3;x1^2;x2^2;x2 x3;x3^3;x1^4;x1^2 x2^2;x2^4;x1^3 x3;x1 x2^2 x3;x1^2 x3^2;x2^2 x3^2;x1 x3^3;x1^2 x2^2 x3;x2^4 x3"
4,4.4,25119,49,"min/min",12,TRUE,5,8,TRUE,TRUE,0,"x3;x1^2;x2^2;x1 x3;x1^2 x3;x2^2 x3;x3^3;x1^2 x2^2;x2^4;x1^3 x3;x2^2 x3^2;x3^4"
4,4.4,25119,49,"min/1se",12,FALSE,6,13,FALSE,FALSE,6,"x3;x1^2;x2^2;x1 x3;x1^2 x3;x3^3;x1^2 x2^2;x2^4;x1^3 x3;x2^2 x3^2;x3^4;x2^4 x3"
4,4.4,25119,49,"1se/1se",12,FALSE,6,13,FALSE,FALSE,6,"x3;x1^2;x2^2;x1 x3;x1^2 x3;x3^3;x1^2 x2^2;x2^4;x1^3 x3;x2^2 x3^2;x3^4;x2^4 x3"
5,4.4,25119,49,"min/min",25,FALSE,19,21,FALSE,FALSE,14,"x3;x1^2;x2^2;x2 x3;x3^2;x1^3;x1^2 x2;x1 x2^2;x2^2 x3;x1 x3^2;x3^3;x1^4;x1^2 x2^2;x2^4;x1^3 x3;x1^2 x2 x3;x1^2 x3^2;x2^2 x3^2;x3^4;x1^2 x2^3;x1^4 x3;x1^2 x2^2 x3;x2^4 x3;x1 x2^2 x3^2;x2^3 x3^2"
