"trial","sweep","log10n","n","snr","trimmed_p","trimmed_max_degree","selected","selected_intercept","screen_exact_truth","truth_in_selected","seconds"
0,"n",3.8,6310,49,55,5,"x3;x1^2;x2^2;x3^2;x1^2 x3;x2^2 x3;x3^3;x1^3 x3;x3^4",TRUE,FALSE,TRUE,3.93455266952515
1,"n",3.8,6310,49,34,4,"x3;x1^2;x2^2;x1^2 x3;x2^2 x3;x3^3;x1^3 x3;x2^2 x3^2",TRUE,FALSE,TRUE,3.17020773887634
2,"n",3.8,6310,49,55,5,"x1;x3;x1^2;x1 x2;x2^2;x1 x3;x2 x3;x3^2;x1^3;x1^2 x2;x1 x2^2;x1^2 x3;x1 x2 x3;x2^2 x3;x1 x3^2;x2 x3^2;x3^3;x1^2 x2^2;x2^4;x1^2 x2 x3;x1 x2^2 x3;x1^2 x3^2;x1 x2 x3^2;x3^4;x1^5;x1^4 x2;x1^3 x2^2;x1^2 x2^3;x2^5;x1^4 x3;x1^3 x2 x3;x1^2 x2^2 x3;x1 x2^3 x3;x2^4 x3;x1^2 x2 x3^2;x2^3 x3^2;x1^2 x3^3;x2^2 x3^3;x1 x3^4",TRUE,FALSE,FALSE,3.84548497200012
3,"n",3.8,6310,49,55,5,"x3;x1^2;x2^2;x1^2 x3;x2^2 x3;x3^3;x1^4;x1^3 x3;x1^2 x3^2;x2^2 x3^2;x1^2 x2^2 x3",TRUE,FALSE,TRUE,3.65990257263184
4,"n",3.8,6310,49,55,5,"x3;x1^2;x2^2;x1 x3;x3^2;x1^2 x3;x2^2 x3;x3^3;x1^2 x2^2;x2^4;x1^3 x3;x2^2 x3^2;x3^4;x2^4 x3",TRUE,FALSE,TRUE,3.73604726791382
5,"n",3.8,6310,49,55,5,"x3;x1^2;x2^2;x2 x3;x3^2;x2^2 x3;x3^3;x1^4;x1^2 x2^2;x2^4;x1^3 x3;x1^2 x3^2;x2^2 x3^2;x3^4;x1^4 x3;x1^2 x2^2 x3;x2^4 x3;x1^2 x2 x3^2",TRUE,FALSE,FALSE,3.72859382629395
6,"n",3.8,6310,49,34,4,"x3;x1^2;x2^2;x3^2;x1^2 x3;x2^2 x3;x3^3;x1^3 x3;x3^4",TRUE,FALSE,TRUE,3.39847898483276
7,"n",3.8,6310,49,55,5,"x3;x1^2;x2^2;x3^2;x1^2 x3;x2^2 x3;x3^3;x1^3 x3;x1^2 x3^2;x2^2 x3^2;x3^4;x1^4 x3;x1^2 x2^2 x3;x2^4 x3",TRUE,FALSE,TRUE,3.6951425075531
8,"n",3.8,6310,49,34,4,"x3;x1^2;x2^2;x1^2 x3;x2^2 x3;x3^3;x1^3 x3",TRUE,TRUE,TRUE,3.34636855125427
9,"n",3.8,6310,49,34,4,"x3;x1^2;x2^2;x1^2 x3;x2^2 x3;x3^3;x1^3 x3",TRUE,TRUE,TRUE,3.16198396682739
0,"snr",3.69897000433602,5000,1,9,2,"x1^2;x2^2",TRUE,FALSE,FALSE,2.21460437774658
