"trial","design","rows","kappa_full","kappa_deg4","kappa_true","vif_true_max","vif_true_med"
1,"SG",5000,220.038112249472,31.4276837198642,15.3382775502051,4102.13001263469,44.4386516785468
1,"weak K=0.25n",1250,70.5108239742219,72.843662488944,10.3000748596914,4351.8890019399,46.5761995467252
1,"weak K=0.04n",200,210.131948975609,81.9094630885172,16.3368838080159,4698.14545979645,44.2256330302054
2,"SG",5000,392.759002024923,55.0580918072974,17.1473063083812,1146.96562822973,80.8034893070157
2,"weak K=0.25n",1250,139.455975284351,123.610391307619,12.175144860759,1289.50221665758,93.390235804636
2,"weak K=0.04n",200,700.020306508081,172.780539841662,20.7713767588448,1296.95693987354,301.438326821735
3,"SG",5000,304.358014846106,37.9179040347884,15.7402444191867,12562.6807334631,118.06988108318
3,"weak K=0.25n",1250,69.4843041262261,104.128229084328,10.2019870732751,17649.3879199618,145.252892983087
3,"weak K=0.04n",200,354.644363876081,112.957130126302,16.9251525902399,25712.193193469,274.495226855912
4,"SG",5000,359.372057349895,50.6789315594476,15.2641264352462,2232.82873957041,86.7642935813752
4,"weak K=0.25n",1250,104.214374182114,106.635407420051,10.4701696890637,2651.57215269086,71.6625592018668
4,"weak K=0.04n",200,319.443558877707,93.0812208320657,16.6197392420793,5015.69959103559,241.556678650345
5,"SG",5000,276.342796506063,36.6530993131122,16.0841314311408,10970.5273643338,127.852906755753
5,"weak K=0.25n",1250,72.9710950328479,89.2877214288332,9.23673580815026,12578.4598681112,137.995825232884
5,"weak K=0.04n",200,204.663056764034,108.699352348757,15.0414600896334,11182.0862885197,160.416697256558
