"system","eq","trial","snr","log10n","n","sg_order","sg_window","states","m","p","stride","arm","K","selected","selected_intercept","n_selected","kept","kept_intercept","n_kept","n_true_kept","n_spurious_selected","n_spurious_kept","success","max_rel_coef_err","int_mean","int_lo","int_hi","ols_int_true_support","ols_int_se","ols_int_t","sigma_true_support","rho1_true_support","sigma_kept","det_error_mean","det_error_sd","det_error_max","t_stan_s"
"aizawa",3,11,Inf,3.69897000433602,5000,4,13,"smoothed",13,4,6,"weak/smoothed/m=1w/p=4",829,"x3;x1^2;x2^2;x3^2;x1^3;x1^2 x3;x2^2 x3;x3^3;x1^4;x1^2 x2^2;x2^4;x1^3 x3;x2^2 x3^2;x2 x3^3;x3^4;x1 x2^4;x1^2 x2^2 x3;x1^3 x3^2;x1 x2^2 x3^2;x1^2 x3^3;x2^2 x3^3",TRUE,21,"x3;x1^2;x2^2;x1^3;x1^2 x3;x2^2 x3;x3^3;x1^2 x2^2;x1^3 x3;x1^2 x2^2 x3;x1^3 x3^2;x1 x2^2 x3^2",TRUE,12,7,14,5,FALSE,4.57384087502177e-05,0.6500294468893,0.650029362893925,0.6500295376935,0.650029341431069,2.06286479859184e-08,31511000.7148696,3.63541972791278e-07,0.762933809905763,2.29545319549026e-07,4.87974160824143e-08,3.36791111203845e-05,8.15845464602338e-05,20.1673057079315
"aizawa",3,11,Inf,3.69897000433602,5000,4,13,"smoothed",13,8,6,"weak/smoothed/m=1w/p=8",829,"x3;x1^2;x2^2;x3^2;x1^3;x1^2 x3;x2^2 x3;x3^3;x1^4;x1^2 x2^2;x2^4;x1^3 x3;x1^2 x3^2;x2^2 x3^2;x2 x3^3;x3^4;x1 x2^4;x1^2 x2^2 x3;x1^3 x3^2;x1 x2^2 x3^2;x1^2 x3^3;x2^2 x3^3",TRUE,22,"x3;x1^2;x2^2;x1^3;x1^2 x3;x2^2 x3;x3^3;x1^3 x3;x1 x2^4;x1^2 x2^2 x3;x1^3 x3^2;x1 x2^2 x3^2",TRUE,12,7,15,5,FALSE,9.14501599780237e-07,0.650000009509996,0.649999945762998,0.650000073975838,0.650000005779594,1.41510992747897e-08,45932827.7724386,2.4946279020738e-07,0.69233928926426,1.94722963624458e-07,-1.01856165128043e-08,2.03746735306336e-07,1.03665722461788e-06,23.8320748806
"aizawa",3,11,Inf,3.69897000433602,5000,4,13,"smoothed",26,4,13,"weak/smoothed/m=2w/p=4",381,"x3;x1^2;x2^2;x3^2;x1^3;x1^2 x3;x2^2 x3;x3^3;x1^4;x1^2 x2^2;x1^3 x3;x1 x2^2 x3;x1^2 x3^2;x2^2 x3^2;x2 x3^3;x3^4;x1^5;x1^2 x2^2 x3;x1 x2^2 x3^2;x1^2 x3^3;x2^2 x3^3",TRUE,21,"x3;x1^2;x2^2;x1^2 x3;x2^2 x3;x3^3;x1^3 x3;x1^5;x1 x2^2 x3^2",TRUE,9,7,14,2,FALSE,2.94530222211264e-06,0.65000186085803,0.650001797328496,0.650001932077933,0.650001829832494,1.51122803910134e-08,43011498.7953123,1.79200310599675e-07,0.0850971031133552,1.40532120499408e-07,5.19912959025023e-09,2.10191788120834e-06,4.63558985563939e-06,26.3109738826752
"aizawa",3,11,Inf,3.69897000433602,5000,4,13,"smoothed",26,8,13,"weak/smoothed/m=2w/p=8",381,"x3;x1^2;x2^2;x1^2 x3;x2^2 x3;x3^3;x1^3 x3",TRUE,7,"x3;x1^2;x2^2;x1^2 x3;x2^2 x3;x3^3;x1^3 x3",TRUE,7,7,0,0,TRUE,4.50252423817021e-07,0.649999987429893,0.649999877976649,0.650000097148149,0.649999988913761,1.66191356142733e-08,39111540.0945108,1.9730109516058e-07,0.0110928726602245,1.9732971397109e-07,-1.07160087371173e-08,1.61031350771845e-07,7.47394104494425e-07,2.33035707473755
"aizawa",3,12,Inf,3.69897000433602,5000,4,13,"smoothed",NA,NA,NA,"sg",5000,"x1;x3;x1^2;x2^2;x1 x3;x2 x3;x3^2;x1^3;x1^2 x2;x2^3;x1^2 x3;x1 x2 x3;x2^2 x3;x2 x3^2;x3^3;x1^2 x2^2;x1^3 x3;x1 x2^2 x3;x1 x3^3;x3^4",TRUE,20,"x1;x3;x1^2;x2^2;x2 x3;x1^3;x1^2 x2;x2^3;x1^2 x3;x1 x2 x3;x2^2 x3;x2 x3^2;x3^3;x1^2 x2^2;x1^3 x3;x1 x2^2 x3;x1 x3^3;x3^4",TRUE,18,7,13,11,FALSE,0.000264395945691054,0.650000364328796,0.649999797157172,0.650000921256185,0.649997637140851,3.76952673404233e-07,1724348.12909209,1.57355591400598e-05,0.9657562943028,8.16038871627e-06,6.10290261869384e-07,1.70252208687372e-05,0.000311503713512962,7.67530107498169
"aizawa",3,12,Inf,3.69897000433602,5000,4,13,"raw",13,4,6,"weak/raw/m=1w/p=4",829,"x1;x3;x1^2;x2^2;x1 x3;x3^2;x1^3;x1^2 x2;x2^3;x1^2 x3;x1 x2 x3;x2^2 x3;x2 x3^2;x3^3;x1^2 x2^2;x1^3 x3;x1 x2^2 x3;x1 x3^3;x3^4;x1^2 x2^2 x3;x2 x3^4",TRUE,21,"x3;x1^2;x2^2;x1^3;x1^2 x3;x1 x2 x3;x2^2 x3;x3^3;x1^3 x3;x1 x2^2 x3",TRUE,10,7,14,3,FALSE,4.68531730146715e-05,0.650029387553657,0.650029258949753,0.650029510778934,0.650029307011941,1.81094432138039e-08,35894494.3440588,3.06629258376612e-07,0.78713932100485,1.60754819483485e-07,-6.5851053689856e-07,2.95380397543e-05,0.000198965034579168,10.2769601345062
"aizawa",3,12,Inf,3.69897000433602,5000,4,13,"raw",13,8,6,"weak/raw/m=1w/p=8",829,"x1;x3;x1^2;x2^2;x1 x3;x2 x3;x3^2;x1^3;x1^2 x2;x2^3;x1^2 x3;x1 x2 x3;x2^2 x3;x2 x3^2;x3^3;x1^2 x2^2;x1^3 x3;x1 x2^2 x3;x1 x3^3;x3^4;x1^2 x2^2 x3",TRUE,21,"x3;x1^2;x2^2;x1^2 x3;x2^2 x3;x3^3;x1^2 x2^2;x1^3 x3;x1 x2^2 x3",TRUE,9,7,14,2,FALSE,4.22519613810235e-06,0.649999977070228,0.649999856488402,0.650000099980189,0.650000019593792,1.01796398012686e-08,63852948.8551047,1.72465104076241e-07,0.691113368438545,1.49032288543631e-07,4.66424641705526e-09,1.73751429546098e-07,8.89631246780986e-07,11.3495280742645
"aizawa",3,12,Inf,3.69897000433602,5000,4,13,"raw",26,4,13,"weak/raw/m=2w/p=4",381,"x1;x2;x3;x1^2;x1 x2;x2^2;x1 x3;x3^2;x1^3;x1^2 x2;x1^2 x3;x1 x2 x3;x2^2 x3;x3^3;x1^4;x1^3 x2;x1^2 x2^2;x1 x2^3;x1^3 x3;x1 x2^2 x3;x2^3 x3;x1 x2 x3^2;x1 x3^3;x3^4;x1^2 x2^3;x1^4 x3;x1^3 x2 x3;x1^2 x2^2 x3;x1^2 x2 x3^2;x2^2 x3^3",TRUE,30,"x3;x1^2;x2^2;x1^2 x3;x2^2 x3;x3^3;x1^3 x3;x1 x2^2 x3;x1^2 x2 x3^2",TRUE,9,7,23,2,FALSE,5.48522381099703e-06,0.650001889857652,0.650001783616212,0.650002000529276,0.65000183890658,1.15767574515275e-08,56147141.5142084,1.31073564585513e-07,0.213064282677049,8.80505621650947e-08,-6.0955619458345e-09,1.75355780317352e-06,1.13783950800306e-05,21.1554529666901
"aizawa",3,12,Inf,3.69897000433602,5000,4,13,"raw",26,8,13,"weak/raw/m=2w/p=8",381,"x1;x3;x1^2;x2^2;x1 x3;x3^2;x1^3;x1^2 x2;x1^2 x3;x2^2 x3;x3^3;x1^4;x1^3 x2;x1^2 x2^2;x1 x2^3;x1^3 x3;x2^3 x3;x1 x3^3;x3^4;x1^2 x2^3;x1^4 x3;x1^2 x2^2 x3;x1^2 x2 x3^2;x2^2 x3^3",TRUE,24,"x3;x1^2;x2^2;x1^2 x3;x2^2 x3;x3^3;x1^3 x3;x2^3 x3;x1^2 x2 x3^2",TRUE,9,7,17,2,FALSE,7.12812809583463e-06,0.650000030176603,0.649999915930389,0.650000142629161,0.650000004251411,1.20805047387918e-08,53805699.2075996,1.36914844677937e-07,0.125711995295788,1.09489530208819e-07,3.82964286762567e-09,1.37944671354659e-07,6.80308913314498e-07,19.9269239902496
"aizawa",3,12,Inf,3.69897000433602,5000,4,13,"smoothed",13,4,6,"weak/smoothed/m=1w/p=4",829,"x1;x3;x1^2;x2^2;x1 x3;x3^2;x1^3;x1^2 x2;x2^3;x1^2 x3;x1 x2 x3;x2^2 x3;x2 x3^2;x3^3;x1^2 x2^2;x1^3 x3;x1 x2^2 x3;x1 x3^3;x3^4;x1^2 x2^2 x3",TRUE,20,"x3;x1^2;x2^2;x1^3;x1^2 x3;x1 x2 x3;x2^2 x3;x3^3;x1^3 x3;x1 x2^2 x3",TRUE,10,7,13,3,FALSE,4.71823421324125e-05,0.650029375526214,0.650029205278855,0.650029542731029,0.650029299518284,2.37511057756444e-08,27368380.4728308,4.0215393850614e-07,0.713189463260733,2.20192060886284e-07,-6.5851053689856e-07,2.95380397543e-05,0.000198965034579168,8.55729985237122
