"system","eq","trial","snr","log10n","n","sg_order","sg_window","states","m","p","stride","arm","K","selected","selected_intercept","n_selected","kept","kept_intercept","n_kept","n_true_kept","n_spurious_selected","n_spurious_kept","success","max_rel_coef_err","int_mean","int_lo","int_hi","ols_int_true_support","ols_int_se","ols_int_t","sigma_true_support","rho1_true_support","sigma_kept","det_error_mean","det_error_sd","det_error_max","t_stan_s"
"aizawa",3,5,Inf,3.69897000433602,5000,4,13,"smoothed",13,8,6,"weak/smoothed/m=1w/p=8",829,"x3;x1^2;x2^2;x1 x3;x3^2;x1^2 x2;x1 x2^2;x2^3;x1^2 x3;x1 x2 x3;x2^2 x3;x2 x3^2;x3^3;x1^2 x2^2;x2^4;x1^3 x3;x2^3 x3;x2^2 x3^2;x2 x3^3;x3^4;x1^2 x2^3;x2^5;x1^2 x2^2 x3;x2^4 x3;x2^3 x3^2",TRUE,25,"x3;x1^2;x2^2;x1 x3;x1^2 x2;x1 x2^2;x2^3;x1^2 x3;x2^2 x3;x2 x3^2;x3^3;x1^3 x3;x2^3 x3;x2^2 x3^2;x2 x3^3;x3^4;x1^2 x2^3;x2^5",TRUE,18,7,18,11,FALSE,5.1818813348592e-06,0.650000003962774,0.649999941646403,0.650000069425849,0.650000024838178,2.4562642361604e-08,26462951.9605045,3.16806172145868e-07,0.707008277432861,2.46706059004356e-07,-8.13687362107646e-09,2.61392653798501e-07,1.08488818584274e-06,55.5378766059875
"aizawa",3,5,Inf,3.69897000433602,5000,4,13,"smoothed",26,4,13,"weak/smoothed/m=2w/p=4",381,"x3;x1^2;x2^2;x1 x3;x3^2;x1^3;x1 x2^2;x2^3;x1^2 x3;x2^2 x3;x3^3;x1^2 x2^2;x2^4;x1^3 x3;x2^3 x3;x2^2 x3^2;x3^4;x1^2 x2^3;x2^5;x2^4 x3;x1^2 x2 x3^2;x2^3 x3^2",TRUE,22,"x3;x1^2;x2^2;x1 x3;x1 x2^2;x1^2 x3;x2^2 x3;x3^3;x1^3 x3;x1^2 x2 x3^2",TRUE,10,7,15,3,FALSE,3.09079471660922e-06,0.650001880262882,0.650001797716451,0.650001964304926,0.650001845378468,2.61564761867481e-08,24850512.7654689,2.25005410754213e-07,0.0591177661194747,1.74883246201309e-07,-8.96932984145916e-08,2.31848631653066e-06,4.72464690448593e-06,56.0526173114777
"aizawa",3,5,Inf,3.69897000433602,5000,4,13,"smoothed",26,8,13,"weak/smoothed/m=2w/p=8",381,"x3;x1^2;x2^2;x1 x3;x3^2;x1^3;x1 x2^2;x2^3;x1^2 x3;x2^2 x3;x3^3;x1^2 x2^2;x2^4;x1^3 x3;x2^3 x3;x2^2 x3^2;x3^4;x1^2 x2^3;x2^4 x3;x2^3 x3^2",TRUE,20,"x3;x1^2;x2^2;x1 x3;x1 x2^2;x1^2 x3;x2^2 x3;x3^3;x1^3 x3;x2^3 x3;x2^3 x3^2",TRUE,11,7,13,4,FALSE,4.46466619979935e-06,0.649999990839765,0.649999896635144,0.650000082848009,0.650000002273964,2.95355601576816e-08,22007370.0584585,2.55283067885242e-07,0.00948360872048515,2.10950364604522e-07,-7.83511780360844e-09,2.09886996214784e-07,8.17582299306174e-07,45.2553741931915
"aizawa",3,6,Inf,3.69897000433602,5000,4,13,"smoothed",NA,NA,NA,"sg",5000,"x3;x1^2;x2^2;x2 x3;x3^2;x1 x2^2;x1 x2 x3;x2^2 x3;x1 x3^2;x3^3;x1^4;x1^2 x2^2;x2^4;x1^3 x3;x1^2 x2 x3;x1 x2^2 x3;x1^2 x3^2;x2^2 x3^2;x3^4;x1^2 x2^3;x1^4 x3;x1^2 x2^2 x3;x2^4 x3;x2^3 x3^2",TRUE,24,"x3;x1^2;x2^2;x3^2;x1 x2^2;x1 x2 x3;x2^2 x3;x1 x3^2;x3^3;x1^4;x1^2 x2^2;x2^4;x1^3 x3;x1^2 x2 x3;x1 x2^2 x3;x1^2 x3^2;x2^2 x3^2;x3^4;x1^2 x2^3;x1^4 x3;x1^2 x2^2 x3;x2^4 x3;x2^3 x3^2",TRUE,23,6,18,17,FALSE,1,0.644620721782773,0.644177962129325,0.645048044000563,0.650000539771395,2.9026638264786e-07,2239324.21605967,1.03287687982867e-05,0.979044125557707,0.00501231416049925,-4.62967414471827e-08,1.13695375943863e-05,0.00010734460553341,11.6190390586853
"aizawa",3,6,Inf,3.69897000433602,5000,4,13,"raw",13,4,6,"weak/raw/m=1w/p=4",829,"x3;x1^2;x2^2;x2 x3;x3^2;x1 x2 x3;x2^2 x3;x1 x3^2;x3^3;x1^4;x1^2 x2^2;x2^4;x1^3 x3;x1^2 x2 x3;x1^2 x3^2;x2^2 x3^2;x3^4;x1^2 x2^3;x1^4 x3;x1^2 x2^2 x3;x2^4 x3",TRUE,21,"x3;x1^2;x2^2;x2 x3;x3^2;x1 x2 x3;x2^2 x3;x1 x3^2;x3^3;x1^4;x1^2 x2^2;x1^3 x3;x1^2 x2 x3;x1^2 x3^2;x2^2 x3^2;x3^4;x1^2 x2^3;x1^4 x3;x1^2 x2^2 x3;x2^4 x3",TRUE,20,6,15,14,FALSE,1,0.644784852693282,0.643725824469872,0.645841261459574,0.650029363363043,2.36646824798084e-08,27468332.3521316,3.41100198911366e-07,0.770775972717522,0.00489397593481034,6.03881973067999e-07,3.76164006230498e-05,7.741869886424e-05,8.9515438079834
"aizawa",3,6,Inf,3.69897000433602,5000,4,13,"raw",13,8,6,"weak/raw/m=1w/p=8",829,"x3;x1^2;x2^2;x2 x3;x3^2;x1 x2 x3;x2^2 x3;x1 x3^2;x3^3;x1^4;x1^2 x2^2;x2^4;x1^3 x3;x1^2 x2 x3;x1^2 x3^2;x2^2 x3^2;x3^4;x1^2 x2^3;x1^4 x3;x1^2 x2^2 x3;x2^4 x3",TRUE,21,"x3;x1^2;x2^2;x2 x3;x3^2;x1 x2 x3;x2^2 x3;x1 x3^2;x3^3;x1^4;x1^2 x2^2;x1^3 x3;x1^2 x2 x3;x1^2 x3^2;x2^2 x3^2;x3^4;x1^2 x2^3;x1^4 x3;x1^2 x2^2 x3;x2^4 x3",TRUE,20,6,15,14,FALSE,1,0.644664135596296,0.643591725500799,0.645749190406357,0.650000012235505,1.57113809760051e-08,41371284.4993197,2.26677996573665e-07,0.691210517845083,0.00495288733519508,-4.01865564200626e-09,2.30464572011756e-07,1.0028960472086e-06,13.8981242179871
"aizawa",3,6,Inf,3.69897000433602,5000,4,13,"raw",26,4,13,"weak/raw/m=2w/p=4",381,"x3;x1^2;x2^2;x3^2;x1 x2 x3;x2^2 x3;x1 x3^2;x2 x3^2;x3^3;x1^4;x1^2 x2^2;x2^4;x1^3 x3;x1^2 x3^2;x2^2 x3^2;x3^4;x1^2 x2^3;x1^4 x3;x1^2 x2^2 x3;x2^4 x3",TRUE,20,"x3;x1^2;x2^2;x3^2;x1 x2 x3;x2^2 x3;x1 x3^2;x3^3;x1^4;x1^2 x2^2;x1^3 x3;x1^2 x3^2;x3^4;x1^2 x2^3;x1^4 x3;x1^2 x2^2 x3;x2^4 x3",TRUE,17,6,14,11,FALSE,1,0.644922865995978,0.643514030007596,0.646373098736114,0.650001834734767,1.7289623840497e-08,37594908.9888402,1.67121312431392e-07,0.123089786866661,0.00443318770243054,4.94468098609795e-08,2.33973477792477e-06,4.56790101621696e-06,15.0731317996979
"aizawa",3,6,Inf,3.69897000433602,5000,4,13,"raw",26,8,13,"weak/raw/m=2w/p=8",381,"x3;x1^2;x2^2;x2 x3;x3^2;x1^2 x2;x1 x2 x3;x2^2 x3;x1 x3^2;x2 x3^2;x3^3;x1^4;x1^2 x2^2;x2^4;x1^3 x3;x1^2 x2 x3;x1^2 x3^2;x2^2 x3^2;x3^4;x1^2 x2^3;x1^4 x3;x1^2 x2^2 x3;x2^4 x3",TRUE,23,"x3;x1^2;x2^2;x2 x3;x3^2;x1^2 x2;x1 x2 x3;x2^2 x3;x1 x3^2;x2 x3^2;x3^3;x1^4;x1^2 x2^2;x1^3 x3;x1^2 x3^2;x3^4;x1^2 x2^3;x1^4 x3;x1^2 x2^2 x3;x2^4 x3",TRUE,20,6,17,14,FALSE,1,0.64499715820543,0.643477871126695,0.646516457207222,0.649999991070482,1.86632926267767e-08,34827723.2784697,1.81094176033428e-07,0.040252825028987,0.00451295455634505,-3.93885421217204e-09,1.8310838544174e-07,7.80404541989022e-07,14.1266391277313
"aizawa",3,6,Inf,3.69897000433602,5000,4,13,"smoothed",13,4,6,"weak/smoothed/m=1w/p=4",829,"x3;x1^2;x2^2;x2 x3;x3^2;x1 x2 x3;x2^2 x3;x1 x3^2;x3^3;x1^4;x1^2 x2^2;x2^4;x1^3 x3;x1^2 x2 x3;x1^2 x3^2;x2^2 x3^2;x3^4;x1^2 x2^3;x1^4 x3;x1^2 x2^2 x3;x2^4 x3",TRUE,21,"x3;x1^2;x2^2;x2 x3;x3^2;x1 x2 x3;x2^2 x3;x1 x3^2;x3^3;x1^4;x1^2 x2^2;x1^3 x3;x1^2 x2 x3;x1^2 x3^2;x2^2 x3^2;x3^4;x1^2 x2^3;x1^4 x3;x1^2 x2^2 x3;x2^4 x3",TRUE,20,6,15,14,FALSE,1,0.644757983236769,0.643681961607548,0.645826981119326,0.650029371686683,2.79422721280391e-08,23263296.8682028,4.0275691624244e-07,0.754620019620107,0.00489310567567968,6.03881973067999e-07,3.76164006230498e-05,7.741869886424e-05,9.00310277938843
"aizawa",3,6,Inf,3.69897000433602,5000,4,13,"smoothed",13,8,6,"weak/smoothed/m=1w/p=8",829,"x3;x1^2;x2^2;x2 x3;x3^2;x1 x2 x3;x2^2 x3;x1 x3^2;x3^3;x1^4;x1^2 x2^2;x2^4;x1^3 x3;x1^2 x2 x3;x1^2 x3^2;x2^2 x3^2;x3^4;x1^2 x2^3;x1^4 x3;x1^2 x2^2 x3;x2^4 x3",TRUE,21,"x3;x1^2;x2^2;x2 x3;x3^2;x1 x2 x3;x2^2 x3;x1 x3^2;x3^3;x1^4;x1^2 x2^2;x1^3 x3;x1^2 x2 x3;x1^2 x3^2;x2^2 x3^2;x3^4;x1^2 x2^3;x1^4 x3;x1^2 x2^2 x3;x2^4 x3",TRUE,20,6,15,14,FALSE,1,0.644668618060811,0.643655283985372,0.645760471589976,0.65000002053179,1.99298084506273e-08,32614464.014647,2.87539907471708e-07,0.696860507461205,0.00495333929037096,-4.01865564200626e-09,2.30464572011756e-07,1.0028960472086e-06,15.0568027496338
