"system","eq","snr","log10n","arm","trials","success","intercept_kept","n_selected","n_kept","spurious_kept","ols_int_med","ols_int_se_med","ols_int_t_med","sigma_med","rho1_med","det_sd_med","det_max_med","K_med","t_stan_med"
"rossler",3,61,3.69897000433602,"weak/smoothed/m=2w/p=4",20,1,1,2,2,0,0.20008137826144,0.00033772470048673,592.868173110503,0.00623981529662917,0.240084081703552,1.90631706726962e-05,0.000113845467037521,381,3.47979569435119
"rossler",3,61,3.69897000433602,"weak/smoothed/m=2w/p=8",20,1,1,2,2,0,0.200071344998289,0.000462905975484215,432.112296105026,0.00850844379390467,-0.126400935594695,6.8702765329906e-07,6.0843275040412e-06,381,2.94985949993134
"rossler",3,Inf,3.69897000433602,"sg",20,1,1,2,2,0,0.200003934572535,2.78067861094464e-05,7196.9505092401,0.00185749823232043,0.783778780327671,0.00193163157089229,0.0697855707025212,5000,11.3674490451812
"rossler",3,Inf,3.69897000433602,"weak/raw/m=1w/p=4",20,1,1,2,2,0,0.200008109530427,9.02241132260273e-07,221770.030962157,2.47460701836655e-05,0.831294886504139,0.000369802142973768,0.0024668619226958,829,19.4888536930085
"rossler",3,Inf,3.69897000433602,"weak/raw/m=1w/p=8",20,1,1,2,2,0,0.200000003846242,3.68110490165829e-08,5435020.62232205,1.01149850086992e-06,0.466898413075858,1.04170106801665e-06,1.08299315712545e-05,829,4.02455687522888
"rossler",3,Inf,3.69897000433602,"weak/raw/m=2w/p=4",20,1,1,2,2,0,0.20000039467042,2.43384334725173e-07,822354.680912788,4.50746751888303e-06,0.429461778616727,1.90631706726962e-05,0.000113845467037521,381,52.0304710865021
"rossler",3,Inf,3.69897000433602,"weak/raw/m=2w/p=8",20,1,1,2,2,0,0.199999999192041,3.66231361007494e-08,5465025.4933562,6.78332196358874e-07,-0.288441034503741,6.8702765329906e-07,6.0843275040412e-06,381,19.9185047149658
"rossler",3,Inf,3.69897000433602,"weak/smoothed/m=1w/p=4",20,1,1,2,2,0,0.200008094760491,1.32075499730518e-06,151696.974892241,3.62660641507202e-05,0.724260654022084,0.000369802142973768,0.0024668619226958,829,18.0660405158997
"rossler",3,Inf,3.69897000433602,"weak/smoothed/m=1w/p=8",20,1,1,2,2,0,0.199999959720322,5.89686578908267e-07,339202.97465252,1.61933697472449e-05,0.523109956597148,1.04170106801665e-06,1.08299315712545e-05,829,18.1577227115631
"rossler",3,Inf,3.69897000433602,"weak/smoothed/m=2w/p=4",20,1,1,2,2,0,0.200000352335708,5.65603668920585e-07,353834.326671593,1.05011273499648e-05,0.0169932402532899,1.90631706726962e-05,0.000113845467037521,381,40.8949767351151
"rossler",3,Inf,3.69897000433602,"weak/smoothed/m=2w/p=8",20,1,1,2,2,0,0.199999963255723,5.44551402900054e-07,367320.09589066,1.00947134552009e-05,-0.323926398746055,6.8702765329906e-07,6.0843275040412e-06,381,37.8828958272934
