"system","eq","trial","snr","log10n","n","sg_order","sg_window","states","m","p","stride","arm","K","selected","selected_intercept","n_selected","kept","kept_intercept","n_kept","n_true_kept","n_spurious_selected","n_spurious_kept","success","max_rel_coef_err","int_mean","int_lo","int_hi","ols_int_true_support","ols_int_se","ols_int_t","sigma_true_support","rho1_true_support","sigma_kept","det_error_mean","det_error_sd","det_error_max","t_stan_s"
"rossler",3,2,61,3.69897000433602,5000,4,13,"raw",13,4,6,"weak/raw/m=1w/p=4",829,"x3;x1 x3",TRUE,2,"x3;x1 x3",TRUE,2,2,0,0,TRUE,0.000191790145008364,0.199810640103426,0.19896644623005,0.200663338818706,0.199815187926613,0.000519050405365223,384.962974426376,0.0141339590171985,0.109074427829522,0.0141339654809171,-3.16015162364844e-06,0.000394115388559622,0.00303477914685574,2.6492817401886
"rossler",3,2,61,3.69897000433602,5000,4,13,"raw",13,8,6,"weak/raw/m=1w/p=8",829,"x3;x1 x3",TRUE,2,"x3;x1 x3",TRUE,2,2,0,0,TRUE,0.000235079122618997,0.199784735468162,0.198612002160755,0.201029844022113,0.199799896605956,0.00075248038963028,265.521732339264,0.0204975206264685,-0.232093042599573,0.0204975324319951,2.98534328800248e-08,1.00481547266416e-06,8.60379485062568e-06,2.77806830406189
"rossler",3,2,61,3.69897000433602,5000,4,13,"raw",26,4,13,"weak/raw/m=2w/p=4",381,"x3;x1 x3",TRUE,2,"x3;x1 x3",TRUE,2,2,0,0,TRUE,0.000213624668698564,0.199759775257993,0.199209620474299,0.200328193684357,0.199773749088029,0.000337759105097573,591.468138306199,0.0062132103144107,0.231842930949328,0.00621321265075237,-1.21476589780672e-07,2.00885475290356e-05,0.000138869045042622,2.99464273452759
"rossler",3,2,61,3.69897000433602,5000,4,13,"raw",26,8,13,"weak/raw/m=2w/p=8",381,"x3;x1 x3",TRUE,2,"x3;x1 x3",TRUE,2,2,0,0,TRUE,0.000230989994715047,0.199773852537346,0.199012204197971,0.200518034002166,0.199770665382266,0.000468640799499184,426.276725363545,0.00863174191097618,-0.161896388571052,0.00863175941394583,3.01370214150834e-08,6.40259221553344e-07,4.61785249744606e-06,5.0348072052002
"rossler",3,2,61,3.69897000433602,5000,4,13,"smoothed",13,4,6,"weak/smoothed/m=1w/p=4",829,"x3;x1 x3",TRUE,2,"x3;x1 x3",TRUE,2,2,0,0,TRUE,0.000191658128577799,0.199824614706688,0.198995534734082,0.200669488199566,0.199811144109472,0.000518124841716475,385.642856743803,0.0141087552689393,0.112211463428845,0.014108756311231,-3.16015162364844e-06,0.000394115388559622,0.00303477914685574,2.50698232650757
"rossler",3,2,61,3.69897000433602,5000,4,13,"smoothed",13,8,6,"weak/smoothed/m=1w/p=8",829,"x3;x1 x3",TRUE,2,"x3;x1 x3",TRUE,2,2,0,0,TRUE,0.000235940480669772,0.199799014916411,0.198609174153677,0.201032474768328,0.199803807895591,0.000744957069874198,268.20848606663,0.0202925858239678,-0.222966481619711,0.0202925887968408,2.98534328800248e-08,1.00481547266416e-06,8.60379485062568e-06,4.15402054786682
"rossler",3,2,61,3.69897000433602,5000,4,13,"smoothed",26,4,13,"weak/smoothed/m=2w/p=4",381,"x3;x1 x3",TRUE,2,"x3;x1 x3",TRUE,2,2,0,0,TRUE,0.000215043468875686,0.199791572734949,0.199235033076038,0.200328757675625,0.199773895433356,0.000337758071411771,591.470381739023,0.00621319126675693,0.231844220418459,0.00621319804535624,-1.21476589780672e-07,2.00885475290356e-05,0.000138869045042622,3.48643159866333
"rossler",3,2,61,3.69897000433602,5000,4,13,"smoothed",26,8,13,"weak/smoothed/m=2w/p=8",381,"x3;x1 x3",TRUE,2,"x3;x1 x3",TRUE,2,2,0,0,TRUE,0.000231961616740328,0.199769527909974,0.199003211174032,0.200551059314133,0.199770600240169,0.00046859086881478,426.322008248805,0.00863082220504345,-0.161648702700371,0.00863082506229223,3.01370214150834e-08,6.40259221553344e-07,4.61785249744606e-06,4.78601574897766
"rossler",3,3,61,3.69897000433602,5000,4,13,"smoothed",NA,NA,NA,"sg",5000,"x3;x1 x3",TRUE,2,"x3;x1 x3",TRUE,2,2,0,0,TRUE,6.81175444356974e-05,0.19978662126311,0.198664073321758,0.200901825747011,0.199780442418102,0.00067099297523902,297.738500685401,0.0459074942288538,0.680999910377025,0.0459074980424598,2.18545662244528e-06,0.00134559573339753,0.0181949349550152,5.56804847717285
"rossler",3,3,61,3.69897000433602,5000,4,13,"raw",13,4,6,"weak/raw/m=1w/p=4",829,"x3;x1 x3",TRUE,2,"x3;x1 x3",TRUE,2,2,0,0,TRUE,9.76221635022711e-05,0.199885823461748,0.199233460577204,0.200513309807201,0.199877742717296,0.000403932218290313,494.829908748801,0.0112476619352577,0.129337054980525,0.0112476741308812,-9.77044014760663e-06,0.00032723408746856,0.00245887305143527,4.40602397918701
