"sweep","value","trial","pass2","final"
"n",4.5,60,"(Intercept)|x3|x1^2|x2^2|x1x3|x3^2|x1x2^2|x1^2x3|x2^2x3|x3^3|x1^4|x1^2x2^2|x1^3x3|x3^4","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3"
"n",4.5,61,"(Intercept)|x1|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^4|x1^2x2^2|x2^4|x1^3x3|x1^2x3^2|x2^2x3^2|x3^4","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3"
"n",4.5,62,"(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^4|x1^2x2^2|x1^3x3|x1^2x3^2|x2^2x3^2|x3^4|x1^2x2^2x3","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3"
"n",4.5,63,"(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3|x1^2x3^2","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3"
"n",4.5,64,"(Intercept)|x3|x1^2|x2^2|x1x3|x1^2x3|x2^2x3|x3^3|x1^3x3|x1x2^2x3","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3"
"n",4.5,65,"(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3"
"n",4.5,66,"(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^4|x1^2x2^2|x2^4|x1^3x3|x1^2x2x3|x1^2x3^2|x2^2x3^2|x1^4x3|x1^2x2^2x3","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3"
"n",4.5,67,"(Intercept)|x3|x1^2|x1x2|x2^2|x2^3|x1^2x3|x1x2x3|x2^2x3|x3^3|x1^2x2^2|x2^4|x1^3x3|x1x2^2x3|x2^3x3|x2^2x3^2","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^2x2^2|x1^3x3"
"n",4.5,68,"(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3"
"n",4.5,69,"(Intercept)|x1|x2|x3|x1^2|x2^2|x1x3|x2x3|x1^3|x1x2^2|x2^3|x1^2x3|x1x2x3|x1x3^2|x3^3|x1^4|x1^2x2^2|x1x2^3|x2^4|x1^3x3|x1^2x2x3|x1x2^2x3|x2^3x3|x1^2x3^2|x1x2x3^2|x2^2x3^2|x1x3^3|x2x3^3|x3^4|x1^5|x1^4x2|x1^3x2^2|x1x2^4|x1^4x3|x1^3x2x3|x1^2x2^2x3|x1x2^3x3|x2^4x3|x1^3x3^2|x1^2x2x3^2|x1x2^2x3^2|x2^3x3^2|x1x2x3^3|x2^2x3^3|x1x3^4","(Intercept)|x2|x3|x1^2|x2^2|x2x3|x1x2^2|x2^3|x1^2x3|x1x2x3|x1x3^2|x3^3|x1^4|x1^2x2^2|x1x2^3|x2^4|x1^3x3|x1x2^2x3|x2^3x3|x1^2x3^2|x1x2x3^2|x1x3^3|x2x3^3|x1^3x2^2|x1x2^4|x1^2x2^2x3|x2^4x3|x1^2x2x3^2|x1x2^2x3^2|x2^3x3^2|x2^2x3^3|x1x3^4"
"n",4.5,70,"(Intercept)|x1|x3|x1^2|x2^2|x1x3|x2^3|x2x3^2|x3^3|x1^4|x1^2x2^2|x1^3x3|x1x2^2x3|x2^3x3|x1^2x3^2|x2^2x3^2|x1x3^3|x3^4|x1^4x3|x1^2x2^2x3|x2^4x3|x1^2x3^3|x2^2x3^3","(Intercept)|x1|x3|x1^2|x2^2|x1x3|x2^3|x2x3^2|x3^3|x1^4|x1^2x2^2|x1^3x3|x1x2^2x3|x2^3x3|x1^2x3^2|x2^2x3^2|x1x3^3|x3^4|x1^4x3|x1^2x2^2x3|x2^4x3|x1^2x3^3|x2^2x3^3"
"n",4.5,71,"(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3"
"n",4.5,72,"(Intercept)|x3|x1^2|x2^2|x1x3|x3^2|x1^2x3|x2^2x3|x3^3|x1^2x2^2|x1^3x3|x3^4","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3"
"n",4.5,73,"(Intercept)|x1|x2|x3|x1^2|x1x2|x2^2|x1x3|x2x3|x3^2|x1^3|x1x2^2|x1^2x3|x1x2x3|x2^2x3|x3^3|x1^4|x1^3x2|x1^2x2^2|x2^4|x1^2x2x3|x1x2^2x3|x2^3x3|x1^2x3^2|x2^2x3^2|x1x3^3|x3^4|x1^2x2^3|x1^2x2^2x3|x2^4x3|x1^3x3^2|x1x2^2x3^2|x2x3^4","(Intercept)|x1|x3|x1^2|x2^2|x1x3|x2x3|x1^3|x1x2^2|x1^2x3|x2^2x3|x3^3|x1^2x2^2|x1^2x3^2|x1x3^3|x1^3x3^2|x2x3^4"
"n",4.5,74,"(Intercept)|x1|x2|x3|x1^2|x2^2|x1x3|x2x3|x3^2|x1^3|x1^2x2|x1x2^2|x2^3|x1^2x3|x2x3^2|x3^3|x1^4|x1^3x2|x1^2x2^2|x1^3x3|x1^2x2x3|x1x2^2x3|x2^3x3|x1^2x3^2|x1x2x3^2|x2^2x3^2|x1x3^3|x2x3^3|x3^4|x1^4x2|x1^3x2^2|x1^2x2^3|x1x2^4|x1^4x3|x1^2x2^2x3|x2^4x3|x1^2x2x3^2|x2^3x3^2|x3^5","(Intercept)|x2|x3|x1^2|x2^2|x1x3|x3^2|x1^2x3|x2x3^2|x3^3|x1^2x2^2|x1^3x3|x1^2x2x3|x1x2^2x3|x2^3x3|x2^2x3^2|x1x3^3|x2x3^3|x3^4|x1^2x2^3|x1x2^4|x1^2x2^2x3|x2^4x3|x1^2x2x3^2|x2^3x3^2"
"n",4.5,75,"(Intercept)|x1|x3|x1^2|x2^2|x1x3|x1^3|x1^2x3|x2^2x3|x1x3^2|x3^3|x1^2x2^2|x1^3x3|x1^2x2x3|x1x2^2x3|x1^2x3^2|x2^2x3^2","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3"
"n",4.5,76,"(Intercept)|x2|x3|x1^2|x2^2|x1x3|x3^2|x1^2x2|x1x2^2|x2^3|x1^2x3|x1x2x3|x2^2x3|x1x3^2|x2x3^2|x3^3|x1^4|x1^3x2|x1^2x2^2|x2^4|x1^3x3|x1x2^2x3|x2^3x3|x1^2x3^2|x1x2x3^2|x1x3^3|x3^4|x1^4x2|x1^2x2^3|x2^5|x1^4x3|x1^2x2^2x3|x2^4x3|x1^3x3^2|x1x2^2x3^2|x2^3x3^2|x1^2x3^3|x1x3^4","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3|x1x2^2x3|x1x2^2x3^2"
"n",4.5,77,"(Intercept)|x3|x1^2|x2^2|x1x3|x3^2|x1^2x3|x2^2x3|x3^3|x1^4|x1^2x2^2|x2^4|x1^3x3|x1x2^2x3|x1x3^3|x3^4|x1^4x3|x1^3x2x3|x1^2x2^2x3|x1^3x3^2","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3"
"n",4.5,78,"(Intercept)|x3|x1^2|x2^2|x3^2|x1x2x3|x3^3|x1^4|x1^2x2^2|x2^4|x2^3x3|x1^2x3^2|x2^2x3^2|x3^4|x1^4x3|x1^2x2^2x3|x1^3x3^2|x1^2x2x3^2|x1x2^2x3^2","(Intercept)|x3|x1^2|x2^2|x3^2|x1x2x3|x3^3|x1^4|x1^2x2^2|x2^4|x1^2x3^2|x2^2x3^2|x1^4x3|x1^2x2^2x3|x1^3x3^2|x1^2x2x3^2|x1x2^2x3^2"
"n",4.5,79,"(Intercept)|x1|x3|x1^2|x2^2|x1x3|x3^2|x1^3|x1x2^2|x1^2x3|x2x3^2|x3^3|x1^4|x1^2x2^2|x2^4|x1^3x3|x2^3x3|x1^2x3^2|x1x2x3^2|x2^2x3^2|x3^4|x1^4x3|x1^3x2x3|x1^2x2^2x3|x1x2^3x3|x2^4x3|x1^2x2x3^2","(Intercept)|x1|x3|x1^2|x2^2|x1x3|x3^2|x1^3|x1^2x3|x3^3|x1^2x2^2|x2^4|x1^3x3|x2^3x3|x1^2x3^2|x1x2x3^2|x2^2x3^2|x3^4|x1^4x3|x1^2x2^2x3|x1x2^3x3|x2^4x3"
"n",4.5,80,"(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3"
"n",4.5,81,"(Intercept)|x1|x3|x1^2|x2^2|x1x3|x3^2|x1^3|x2x3^2|x3^3|x1^4|x1^3x2|x1^2x2^2|x1x2^3|x2^4|x1^2x2x3|x1x2^2x3|x2^3x3|x1^2x3^2|x1x2x3^2|x2^2x3^2|x2x3^3|x3^4|x1^2x2^3|x1^4x3|x1^2x2^2x3|x2^4x3|x1^2x2x3^2|x1x2^2x3^2","(Intercept)|x1|x3|x1^2|x2^2|x1x3|x3^2|x1^3|x2x3^2|x3^3|x1^3x2|x1^2x2^2|x1x2^3|x1^2x2x3|x2^3x3|x1^2x3^2|x1x2x3^2|x2^2x3^2|x2x3^3|x3^4|x1^2x2^3|x1^4x3|x1^2x2^2x3|x2^4x3|x1^2x2x3^2|x1x2^2x3^2"
"n",4.5,82,"(Intercept)|x1|x3|x1^2|x2^2|x1x3|x3^2|x1^2x2|x2^3|x1^2x3|x3^3|x1^4|x1^2x2^2|x2^4|x1^3x3|x2^3x3|x2^2x3^2|x3^4|x1^2x2^2x3|x1x2^3x3|x2^4x3","(Intercept)|x1|x3|x1^2|x2^2|x1x3|x3^2|x1^2x2|x1^2x3|x3^3|x1^2x2^2|x2^4|x1^3x3|x2^3x3|x2^2x3^2|x3^4|x1^2x2^2x3|x2^4x3"
"n",4.5,83,"(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3"
"n",4.5,84,"(Intercept)|x3|x1^2|x2^2|x1^2x2|x2^2x3|x3^3|x1^4|x1^2x2^2|x2^4|x1^3x3|x1^2x3^2","(Intercept)|x3|x1^2|x2^2|x1^2x2|x2^2x3|x3^3|x1^4|x1^2x2^2|x2^4|x1^3x3|x1^2x3^2"
"n",4.5,85,"(Intercept)|x1|x3|x1^2|x2^2|x3^2|x1^3|x1^2x2|x1x2x3|x1x3^2|x3^3|x1^4|x1^2x2^2|x2^4|x1^3x3|x1x2^2x3|x2^3x3|x1^2x3^2|x2^2x3^2|x3^4|x1^4x2|x1^4x3|x1^2x2^2x3|x2^4x3|x1^3x3^2|x1^2x2x3^2","(Intercept)|x1|x3|x1^2|x2^2|x3^2|x1x2x3|x3^3|x1^4|x1^2x2^2|x2^4|x1^3x3|x1x2^2x3|x2^3x3|x1^2x3^2|x2^2x3^2|x1^4x2|x1^4x3|x1^2x2^2x3|x2^4x3"
"n",4.5,86,"(Intercept)|x3|x1^2|x2^2|x1^2x2|x1^2x3|x2^2x3|x2x3^2|x3^3|x1^3x3|x2^2x3^2|x3^4|x1^2x2^2x3|x2^4x3","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3"
"n",4.5,87,"(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^4|x1^2x2^2|x2^4|x1^3x3|x1^2x3^2|x2^2x3^2|x3^4","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3"
"n",4.5,88,"(Intercept)|x2|x3|x1^2|x2^2|x1^2x2|x1^2x3|x1x2x3|x1x3^2|x2x3^2|x3^3|x1^2x2^2|x1^3x3|x1^2x2x3|x1x2^2x3|x2^3x3|x1x2x3^2|x2^2x3^2|x3^4|x2^5|x1^2x2^2x3|x1x2^3x3|x2^4x3|x1x2^2x3^2|x2^2x3^3","(Intercept)|x2|x3|x1^2|x2^2|x1^2x2|x1^2x3|x1x2x3|x1x3^2|x3^3|x1^3x3|x1^2x2x3|x1x2^2x3|x2^3x3|x1x2x3^2|x2^2x3^2|x3^4|x1^2x2^2x3|x1x2^3x3|x2^4x3|x1x2^2x3^2|x2^2x3^3"
"n",4.5,89,"(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3"
"n",4.5,90,"(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3"
"n",4.5,91,"(Intercept)|x2|x3|x1^2|x2^2|x1x3|x3^2|x1^3|x1x2^2|x1^2x3|x2^2x3|x3^3|x1^4|x1^2x2^2|x2^4|x1^3x3|x1^2x3^2|x2^2x3^2|x3^4|x1^3x2x3","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3"
"n",4.5,92,"(Intercept)|x1|x2|x3|x1^2|x2^2|x1x3|x2x3|x3^2|x1^3|x1^2x2|x1x2^2|x2^3|x1^2x3|x2^2x3|x1x3^2|x2x3^2|x3^3|x1^4|x1^3x2|x1^2x2^2|x2^4|x1^3x3|x1^2x2x3|x1x2^2x3|x2^3x3|x1^2x3^2|x2^2x3^2|x1x3^3|x2x3^3|x3^4|x1^4x2|x1^2x2^3|x1x2^4|x2^5|x1^4x3|x1^3x2x3|x1x2^3x3|x1^3x3^2|x1^2x2x3^2|x1x2^2x3^2|x2^3x3^2|x1^2x3^3","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3"
"n",4.5,93,"(Intercept)|x3|x1^2|x2^2|x1x3|x2x3|x3^2|x1^3|x1x2^2|x2^3|x1^2x3|x1x2x3|x2^2x3|x1x3^2|x3^3|x1^4|x1^2x2^2|x2^4|x1^3x3|x1^2x2x3|x2^3x3|x1^2x3^2|x2^2x3^2|x3^4|x1^5|x1^4x2|x1^2x2^3|x1^2x2^2x3|x1x2^3x3","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3"
"n",4.5,94,"(Intercept)|x1|x3|x1^2|x2^2|x1x3|x2x3|x1^2x2|x1x2^2|x1^2x3|x2^2x3|x3^3|x1^4|x1^2x2^2|x2^4|x1^3x3|x1^2x2x3|x1x2^2x3|x1^2x3^2|x2^2x3^2|x1x3^3|x2x3^3|x1^3x2^2|x1^2x2^3|x1^4x3|x1^2x2^2x3|x1^3x3^2|x1^2x3^3","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3"
"n",4.5,95,"(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3|x1^2x3^2|x2^2x3^2|x3^4|x1^2x2^2x3","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3"
"n",4.5,96,"(Intercept)|x1|x2|x3|x1^2|x2^2|x1x3|x2x3|x3^2|x1^3|x1^2x2|x1x2^2|x2^3|x1^2x3|x2^2x3|x1x3^2|x3^3|x1^4|x1^2x2^2|x2^4|x1^3x3|x1^2x2x3|x1x2^2x3|x2^3x3|x1^2x3^2|x1x2x3^2|x2^2x3^2|x1x3^3|x2x3^3|x3^4|x1^4x2|x1^2x2^3|x1x2^4|x1^4x3|x1^2x2^2x3|x1x2^3x3|x2^4x3|x1^3x3^2|x1^2x2x3^2|x1x2^2x3^2|x1^2x3^3|x1x2x3^3|x2^2x3^3|x1x3^4","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3"
"n",4.5,97,"(Intercept)|x1|x2|x3|x1^2|x2^2|x1x3|x2x3|x1^3|x1^2x2|x1x2^2|x2^3|x1^2x3|x1x2x3|x2^2x3|x1x3^2|x3^3|x1^4|x1^3x2|x1^2x2^2|x1x2^3|x2^4|x1^3x3|x1x2x3^2|x2^2x3^2|x1x3^3","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3"
"n",4.5,98,"(Intercept)|x3|x1^2|x2^2|x1x3|x3^2|x1^2x3|x2^2x3|x3^3|x1^3x3|x3^4","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3"
"n",4.5,99,"(Intercept)|x2|x3|x1^2|x1x2|x2^2|x1x3|x2x3|x3^2|x1^2x2|x1x2^2|x2^3|x2^2x3|x2x3^2|x3^3|x1^4|x1^2x2^2|x2^4|x1^3x3|x1^2x2x3|x1x2^2x3|x2^3x3|x1^2x3^2|x2^2x3^2|x1x3^3|x2x3^3|x3^4|x1^5|x1^3x2^2|x1^2x2^3|x1^4x3|x1^3x2x3|x1^2x2^2x3|x2^4x3|x1^3x3^2|x1^2x2x3^2|x1x2^2x3^2|x1^2x3^3|x1x2x3^3|x2x3^4|x3^5","(Intercept)|x2|x3|x1^2|x2^2|x2x3|x1^2x2|x2^3|x2^2x3|x3^3|x1^4|x1^2x2^2|x1^3x3|x1^2x2x3|x2^3x3|x1^2x3^2|x2x3^3|x1^5|x1^3x2^2|x1^2x2^3|x1^4x3|x1^3x2x3|x1^2x2^2x3|x1^3x3^2|x1^2x2x3^2|x1^2x3^3|x1x2x3^3|x2x3^4"
"n",4.5,100,"(Intercept)|x2|x3|x1^2|x2^2|x1x3|x3^2|x1^2x3|x2^2x3|x3^3|x1^4|x1^2x2^2|x2^4|x1^3x3|x1x2^2x3|x3^4|x1^2x2^2x3|x2^4x3","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3"
"n",4.6,1,"(Intercept)|x3|x1^2|x2^2|x1x3|x3^2|x1^2x3|x2^2x3|x3^3|x1^2x2^2|x1^3x3|x3^4","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3"
"n",4.6,2,"(Intercept)|x1|x2|x3|x1^2|x1x2|x2^2|x1x3|x2x3|x3^2|x1^3|x1^2x2|x2^3|x1^2x3|x1x2x3|x2^2x3|x1x3^2|x2x3^2|x3^3|x1^4|x1^2x2^2|x1x2^3|x2^4|x1^2x2x3|x1x2^2x3|x2^3x3|x1^2x3^2|x1x2x3^2|x2^2x3^2|x1x3^3|x2x3^3|x3^4|x1^5|x1^3x2^2|x1^2x2^3|x1x2^4|x2^5|x1^4x3|x1^3x2x3|x1^2x2^2x3|x1x2^3x3|x1^3x3^2|x1^2x2x3^2|x2^3x3^2|x1^2x3^3|x1x3^4|x3^5","(Intercept)|x3|x1^2|x2^2|x1x3|x1^3|x1^2x3|x2^2x3|x1x3^2|x3^3|x1^4|x1^2x2^2|x2^4|x2^3x3|x2^2x3^2|x1^5|x1^3x2^2|x1^2x2^3|x2^5|x1^3x3^2|x2^3x3^2"
"n",4.6,3,"(Intercept)|x2|x3|x1^2|x2^2|x1x3|x3^2|x1x2^2|x2^3|x1^2x3|x1x2x3|x2^2x3|x3^3|x1^4|x1^2x2^2|x2^4|x1^3x3|x3^4|x1^3x2x3|x1^2x2^2x3|x1x2^3x3","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3"
"n",4.6,4,"(Intercept)|x1|x2|x3|x1^2|x2^2|x2x3|x1^2x2|x1^2x3|x2^2x3|x2x3^2|x3^3|x1^4|x1^2x2^2|x2^4|x1^3x3|x2^3x3|x1^2x3^2|x2^2x3^2|x1x3^3|x1^3x2^2|x1^4x3|x1^2x2^2x3|x2^4x3|x1^3x3^2|x1^2x2x3^2|x2^3x3^2|x1^2x3^3","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3|x1^3x2^2"
"n",4.6,5,"(Intercept)|x3|x1^2|x2^2|x1x3|x1^2x3|x2^2x3|x3^3|x1^2x2^2|x2^4|x1^3x3|x2^2x3^2|x3^4","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3"
"n",4.6,6,"(Intercept)|x2|x3|x1^2|x2^2|x3^2|x1^3|x1x2^2|x2^2x3|x1x3^2|x3^3|x1^4|x1^2x2^2|x2^4|x1^3x3|x1^2x2x3|x1^2x3^2|x2^2x3^2|x1x3^3|x3^4|x1^4x3|x1^2x2^2x3|x1x2^2x3^2","(Intercept)|x3|x1^2|x2^2|x3^2|x2^2x3|x1x3^2|x3^3|x1^4|x1^2x2^2|x2^4|x1^3x3|x1^2x2x3|x1^2x3^2|x2^2x3^2|x1x3^3|x1^4x3|x1^2x2^2x3|x1x2^2x3^2"
"n",4.6,7,"(Intercept)|x3|x1^2|x2^2|x1x3|x3^2|x1^2x3|x2^2x3|x3^3|x1^2x2^2|x2^4|x1^3x3|x3^4","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3"
"n",4.6,8,"(Intercept)|x1|x3|x1^2|x2^2|x1x3|x3^2|x1^3|x1^2x2|x1^2x3|x2x3^2|x3^3|x1^4|x1^2x2^2|x2^4|x1^3x3|x1x2^2x3|x1^2x3^2|x1x2x3^2|x2^2x3^2|x2x3^3|x3^4|x1^4x3|x1^2x2^2x3|x1x2^3x3|x2^4x3|x2^2x3^3","(Intercept)|x1|x3|x1^2|x2^2|x1x3|x3^2|x1^3|x1^2x3|x2x3^2|x3^3|x1^2x2^2|x2^4|x1^3x3|x2^2x3^2|x2x3^3|x3^4|x1^4x3|x1x2^3x3|x2^4x3|x2^2x3^3"
"n",4.6,9,"(Intercept)|x1|x3|x1^2|x1x2|x2^2|x3^2|x1^2x3|x1x3^2|x2x3^2|x3^3|x1^4|x1^2x2^2|x2^4|x1^3x3|x1^2x3^2|x2^2x3^2|x3^4|x1^2x2^2x3|x2^4x3","(Intercept)|x1|x3|x1^2|x1x2|x2^2|x3^2|x1^2x3|x1x3^2|x2x3^2|x3^3|x1^4|x1^2x2^2|x2^4|x1^3x3|x1^2x3^2|x2^2x3^2|x3^4|x1^2x2^2x3|x2^4x3"
"n",4.6,10,"(Intercept)|x1|x2|x3|x1^2|x1x2|x2^2|x1x3|x2x3|x3^2|x1^3|x2^2x3|x2x3^2|x3^3|x1^2x2^2|x2^4|x1^3x3|x1^2x2x3|x1x2^2x3|x2^3x3|x1^2x3^2|x2^2x3^2|x1x3^3|x2x3^3|x3^4|x1^4x2|x1^2x2^3|x1x2^4|x1^4x3|x1^2x2^2x3|x1x2^3x3|x2^4x3|x1^3x3^2|x1^2x3^3|x2^2x3^3|x1x3^4","(Intercept)|x1|x2|x3|x1^2|x2^2|x2x3|x3^2|x1^3|x2^2x3|x3^3|x1^2x2^2|x1^3x3|x2^3x3|x1^2x3^2|x2^2x3^2|x1x3^3|x2x3^3|x3^4|x1^2x2^3|x1^4x3|x1^2x2^2x3|x2^4x3|x1^2x3^3|x2^2x3^3|x1x3^4"
"n",4.6,11,"(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3|x2^2x3^2","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3"
"n",4.6,12,"(Intercept)|x1|x2|x3|x1^2|x1x2|x2^2|x1x3|x2x3|x3^2|x1^3|x1^2x2|x2^3|x1^2x3|x1x2x3|x2^2x3|x1x3^2|x2x3^2|x3^3|x1^4|x1^3x2|x1^2x2^2|x1x2^3|x2^4|x1^2x2x3|x1x2^2x3|x2^3x3|x1^2x3^2|x1x2x3^2|x2^2x3^2|x1x3^3","(Intercept)|x1|x2|x3|x1^2|x2^2|x1x3|x2x3|x3^2|x1^3|x1^2x2|x2^3|x1^2x3|x1x2x3|x2^2x3|x1x3^2|x2x3^2|x3^3|x1^4|x1^3x2|x1^2x2^2|x2^4|x1^2x2x3|x1x2^2x3|x2^3x3|x1^2x3^2|x1x2x3^2|x2^2x3^2|x1x3^3"
"n",4.6,13,"(Intercept)|x1|x2|x3|x1^2|x2^2|x1x3|x2x3|x3^2|x1^3|x1^2x2|x1x2^2|x2^3|x2x3^2|x3^3|x1^4|x1^2x2^2|x1x2^3|x1^3x3|x1^2x2x3|x1x2^2x3|x2^3x3|x1^2x3^2|x1x2x3^2|x2^2x3^2|x1x3^3|x2x3^3|x3^4|x1^4x2|x1^3x2^2|x1^2x2^3|x2^5|x1^4x3|x1^2x2^2x3|x2^4x3|x1^3x3^2|x1^2x2x3^2|x2^3x3^2|x1^2x3^3|x2^2x3^3","(Intercept)|x1|x3|x1^2|x2^2|x1x3|x2x3|x1^3|x1^2x2|x1x2^2|x2^3|x2x3^2|x3^3|x1^4|x1^2x2^2|x1^3x3|x1^2x2x3|x1x2^2x3|x1^2x3^2|x1x2x3^2|x2^2x3^2|x1x3^3|x2x3^3|x3^4|x1^4x2|x1^2x2^3|x2^5|x1^4x3|x1^2x2^2x3|x2^4x3|x1^3x3^2|x1^2x2x3^2|x1^2x3^3|x2^2x3^3"
"n",4.6,14,"(Intercept)|x1|x2|x3|x1^2|x1x2|x2^2|x1x3|x2x3|x3^2|x1^2x2|x1x2^2|x2^3|x1^2x3|x1x2x3|x2^2x3|x3^3|x1^4|x1^2x2^2|x2^4|x1^3x3|x1x2^2x3|x2^3x3|x1^2x3^2|x2^2x3^2|x1x3^3|x3^4|x1^3x2^2|x2^5|x1^4x3|x1^2x2^2x3|x2^4x3|x1^3x3^2|x1^2x2x3^2|x1x2^2x3^2|x2^3x3^2|x1^2x3^3|x2^2x3^3|x1x3^4|x2x3^4","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3|x1^4x3"
"n",4.6,15,"(Intercept)|x1|x2|x3|x1^2|x2^2|x2x3|x1^3|x3^3|x1^4|x1^3x2|x1^2x2^2|x2^4|x1^3x3|x1^2x2x3|x2^3x3|x1^2x3^2|x1x2x3^2|x2^2x3^2|x1x3^3|x2x3^3|x1^5|x1^4x2|x1^2x2^3|x2^5|x1^4x3|x1^2x2^2x3|x1x2^3x3|x2^4x3|x2^3x3^2|x2^2x3^3","(Intercept)|x1|x2|x3|x1^2|x2^2|x2x3|x1^3|x3^3|x1^4|x1^3x2|x1^2x2^2|x2^4|x1^3x3|x1^2x3^2|x1x2x3^2|x2^2x3^2|x1x3^3|x2x3^3|x1^5|x2^5|x1^4x3|x1^2x2^2x3|x1x2^3x3|x2^4x3|x2^2x3^3"
"n",4.6,16,"(Intercept)|x1|x3|x1^2|x2^2|x3^2|x1x3^2|x2x3^2|x3^3|x1^4|x1^2x2^2|x1x2^3|x2^4|x1^3x3|x1^2x2x3|x2^3x3|x1^2x3^2|x2^2x3^2|x3^4|x1^4x3|x1^2x2^2x3|x2^4x3|x2^2x3^3","(Intercept)|x1|x3|x1^2|x2^2|x3^2|x1x3^2|x3^3|x1^4|x1^2x2^2|x2^4|x1^3x3|x1^2x2x3|x2^3x3|x1^2x3^2|x2^2x3^2|x3^4|x1^4x3|x1^2x2^2x3|x2^4x3"
